Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
VOID_OMEN_TITLE_12,Text,,Strength of Pandoran attacks on Havens increased by 50%,,La force des attaques des Pandoriens sur les refuges est augmentée de 50%.,,,,,,
VOID_OMEN_TITLE_13,Text,,New Pandoran Colonies are built 100% faster,,Les nouvelles colonies pandoriennes sont construites 100 % plus rapidement.,,,,,,
VOID_OMEN_TITLE_14,Text,,Human perception lowered to 20 from 30,,Perception humaine diminuée de 30 à 20,,,,,,
VOID_OMEN_TITLE_15,Text,,"More Touched by the Void, but Umbra disappear after 1 turn",,"Plus de 'touchés par le Néant', mais les Umbras disparaîssent après 1 tour",,,,,,
VOID_OMEN_TITLE_16,Text,,Touched by the Void can appear anywhere and Umbras can attack anyone,,Les Ombres peuvent apparaître n'importe où et attaquer n'importe qui,,,,,,
VOID_OMEN_TITLE_17,Text,,Destroyed havens in Mist always become infested ,,Les refuges détruits dans la brume deviennent toujours infestés,,,,,,
VOID_OMEN_TITLE_18,Text,,"Havens defense rating higher, rewards from haven defense missions lower",,"Le taux de défense des refuges est plus élevé, mais les récompenses des missions de défense sont plus faibles.",,,,,,
VOID_OMEN_TITLE_19,Text,,"Pandorans gain adaptive resistance, Bazaar prices reduced ",,Les Pandoriens gagnent en résistance adaptative et les prix du Bazar diminuent,,,,,,
VOID_OMEN_TITLE_20,Text,,Behemoth can deploy experimental (lower strength) Abbadons,,Le Béhémoth peut déployer des Abbadons expérimentaux (de force inférieure),,,,,,
VOID_OMEN_DESCRIPTION_TEXT_1,Text,,"Communication intercepts from both factions and independent scavenging teams show a spike in hostile encounters, correlating to an overall shift in focus towards foraging as a more relevant procurement source. We speculate that the existence of previously hidden caches has been revealed simultaneously to a number of groups, prompting a scramble to secure them.",,"Les communications interceptées des deux factions et des équipes de récupération indépendantes montrent une augmentation des rencontres hostiles, en corrélation avec un changement global d'orientation vers la recherche de nourriture comme source d'approvisionnement plus pertinente. Nous pensons que l’existence de caches précédemment cachées a été révélée simultanément à un certain nombre de groupes, ce qui a déclenché une ruée pour les sécuriser.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_2,Text,,"Analysis of public feeds indicates a sudden onset of political apathy within the havens populace and political leadership. Under these circumstances it will be difficult to make headway with any faction towards goal alignment. However, the situation does present an opportunity for executing actions that were previously deemed prohibitively unpopular.",,"L’analyse des flux publics indique une apparition soudaine d’apathie politique au sein de la population et des dirigeants politiques des refuges. Dans ces circonstances, il sera difficile de progresser avec une faction vers un alignement sur les objectifs. Cependant, la situation offre effectivement l’opportunité de mettre en œuvre des actions qui étaient auparavant jugées d’une impopularité prohibitive.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_3,Text,,"We are now in a position to corroborate that the feeling of persistent tiredness and increased difficulty in executing strenuous mental or physical tasks is general, and enhanced in stressful situations, most notably combat. No biochemical changes have been observed, however, and we are not able to clinically explain this condition nor treat it.",,"Nous sommes désormais en mesure de corroborer que la sensation de fatigue persistante et de difficulté accrue à exécuter des tâches mentales ou physiques intenses est générale et accentuée dans les situations stressantes, notamment au combat. Aucun changement biochimique n’a cependant été observé et nous ne sommes pas en mesure d’expliquer cliniquement cette affection ni de la traiter.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_4,Text,,"Our analysis of the latest mission reports and debriefings shows a worrisome trend: our operatives are increasingly irritable and distrustful of each other, often choosing to perform tasks themselves rather than relying on their teammates.

<i>""Have you seen the latest psych-evals? 'Trust issues' is putting it mildly: they could start shooting each other any minute. If you want my advice, keep the combat units small, at least for a while.""</i>",,"Notre analyse des derniers rapports de mission et débriefings révèle une tendance inquiétante : nos agents sont de plus en plus irritables et se méfient les uns des autres, choisissant souvent d'effectuer les tâches eux-mêmes plutôt que de s'appuyer sur leurs coéquipiers.

<i>""Avez-vous vu les dernières évaluations psychologiques ? ""Problèmes de confiance"" c'est un euphémisme : ils pourraient commencer à se tirer dessus à tout moment. Si vous voulez mon conseil, gardez les unités de combat petites, au moins pour un moment."" </i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_5,Text,,"We are receiving baffling reports that sizable contingents of haven inhabitants are convinced that the Pandoran attacks are being provoked by the Phoenix Project for ulterior motives, ranging from world domination to marauding. They are demanding the authorities provide weapons and other equipment to protect their homes. ",,"Nous recevons des rapports déconcertants selon lesquels d'importants contingents d'habitants du refuge sont convaincus que les attaques de Pandora sont provoquées par le Projet Phoenix pour des arrière-pensées, allant de la domination mondiale à la maraude. Ils exigent que les autorités leur fournissent des armes et d'autres équipements pour protéger leurs maisons.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_6,Text,,"Observations on the field reveal that Pandorans are evolving and adapting to counter our tactics with uncanny velocity, even for Pandoran standards of rapid evolution. A fortunate side effect is that our scientists seem to have taken on the challenge.",,"Les observations sur le terrain révèlent que les Pandoriens évoluent et s'adaptent pour contrer nos tactiques avec une rapidité étrange, même pour les standards d'évolution rapide des Pandoriens. Heureusement, nos scientifiques semblent avoir relevé le défi.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_7,Text,,"The repurposed weather satellites we have been using to monitor the Mist are showing manyfold higher concentrations of it in covered areas. Recommend augmenting standard deployment to maintain adequate situational awareness.

<i> ""It has nothing to do with meteorology. We know nothing about the Mist: why it moves, where to, why there is so much more of it all of a sudden. Yes, as a ""Mist Expert"" I admit I'm a fraud."" </i>",,"Les satellites météorologiques reconvertis que nous utilisons pour surveiller la brume en montrent des concentrations bien plus élevées dans les zones couvertes. Recommander d’augmenter le déploiement standard pour maintenir une connaissance adéquate de la situation.

<i> ""Cela n'a rien à voir avec la météorologie. Nous ne savons rien de la Brume : pourquoi elle se déplace, où va, pourquoi il y en a tellement plus tout d'un coup. Oui, en tant qu'""Expert de la Brume"", j'avoue que je je suis un fraudeur."" </i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_8,Text,,"Reports from our sources in New Jericho indicate that the faction is implementing enhanced security protocols and increased scrutiny of outside contacts. Surprisingly, our intelligence shows that this behavior is being mirrored by the Disciples of Anu and Synedrion.

<i> ""Them and us, we can't help but see the world that way. Odd how sometimes that peaks and we forget that we are all part of the same species. A species that is currently facing extinction.""</i>",,"Les rapports de nos sources à New Jericho indiquent que la faction met en œuvre des protocoles de sécurité renforcés et une surveillance accrue des contacts extérieurs. Étonnamment, nos renseignements montrent que ce comportement est reflété par les disciples d'Anu et de Synedrion.

<i> ""Eux et nous, nous ne pouvons pas nous empêcher de voir le monde de cette façon. C'est étrange comme parfois cela atteint son apogée et nous oublions que nous faisons tous partie de la même espèce. Une espèce qui est actuellement menacée d'extinction.""</i >",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_9,Text,,"We are receiving reports of a high number of sightings of sizable Pandoran concentrations in the vicinity of havens. Our conclusion is that we are entering a more active phase of Pandoran aggression against remaining centers of population.

<i> ""I would say they are off the leash now, but, if so, who was holding it?""</i>",,"Nous recevons des rapports faisant état d'un grand nombre d'observations de concentrations importantes de Pandorans à proximité des refuges. Notre conclusion est que nous entrons dans une phase plus active d’agression pandorenne contre les centres de population restants.

<i> ""Je dirais qu'ils ne sont plus tenus en laisse maintenant, mais si c'est le cas, qui les tenait ?""</i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_10,Text,,"Our operatives are exhibiting symptoms akin to myalgic encephalitis, or chronic fatigue syndrome. Field observation and medical examinations confirm strong correlation with prolonged exposure to the Mist.",,Nos agents présentent des symptômes proches de l'encéphalite myalgique ou du syndrome de fatigue chronique. L'observation sur le terrain et les examens médicaux confirment une forte corrélation avec une exposition prolongée à la Brume.,,,,,,
VOID_OMEN_DESCRIPTION_TEXT_11,Text,,"Pattern analysis of the Behemoth creature and of its surrounding ecology suggests longer periods of above-surface activity for an indeterminate period of time.

<i>""Could this be another milestone in its evolution? Will we be seeing the marine-origin airborne creatures in the 'Festering Skies' walking on land next? I certainly hope not.</i>”",,"L'analyse des modèles de créature Behemoth et de son écologie environnante suggère de plus longues périodes d'activité au-dessus de la surface pour une période de temps indéterminée.

<i>""Est-ce que cela pourrait être une autre étape importante dans son évolution ? Verrons-nous ensuite les créatures aériennes d'origine marine dans les ""Cieux purulents"" marcher sur terre ? J'espère certainement que non.</i>""",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_12,Text,,"Our intelligence shows that the number of Pandorans involved in the attacks against the havens has increased substantially. We speculate that they must be trying to overcome the haven defenses by brute force. Unless other circumstances concur, this simple strategy might prove highly effective.",,"Nos renseignements montrent que le nombre de Pandoriens impliqués dans les attaques contre les refuges a considérablement augmenté. Nous pensons qu’ils doivent essayer de vaincre les défenses du refuge par la force brute. À moins que d’autres circonstances ne s’y prêtent, cette stratégie simple pourrait s’avérer très efficace.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_13,Text,,"Overhead imagery and field observations confirm our previous suspicions that the Pandorans are using predominantly lower evolution tier creatures to build their colonies, the basic Arthron claw being the main digging utensil. Startlingly, these digging operations have experienced a dramatic increase in number and intensity.",,"Les images aériennes et les observations sur le terrain confirment nos soupçons précédents selon lesquels les Pandoriens utilisent principalement des créatures de niveau d'évolution inférieur pour construire leurs colonies, la griffe de base d'Arthron étant le principal ustensile de creusement. Étonnamment, ces opérations de creusement ont connu une augmentation spectaculaire en nombre et en intensité.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_14,Text,,"According to recent field reports we have begun experiencing unexplainable shortcomings in our situational awareness during combat operations. Further analysis and experimentation at our research facilities has led us to an unexpected conclusion: this is a species-wide perception reducing effect tied to an unknown neurological condition.  

<i>Have you noticed how things look less substantial these days? Like they were covered in fog, or made of cotton candy. Maybe it's just me.</i>",,"Selon des rapports récents sur le terrain, nous avons commencé à constater des lacunes inexplicables dans notre connaissance de la situation lors des opérations de combat. Des analyses et des expérimentations plus poussées dans nos installations de recherche nous ont conduits à une conclusion inattendue : il s’agit d’un effet réducteur de perception à l’échelle de l’espèce lié à une maladie neurologique inconnue.

<i>Avez-vous remarqué à quel point les choses semblent moins substantielles ces jours-ci ? Comme s'ils étaient couverts de brouillard ou faits de barbe à papa. Peut-être que c'est juste moi.</i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_15,Text,,"The number of reports of encounters with psycho-paranormal phenomena is currently peaking. Since we cannot objectively verify the occurrence of these events, we are increasing the frequency of psyche evaluations of all operatives.

<i>Our people are seeing <b>more</b> oil monsters in the field. Not surprisingly the strict adherents of the scientific method among us are explaining this away as our operatives are going <b>more</b> crazy.""</i>",,"Le nombre de rapports faisant état de rencontres avec des phénomènes psychoparanormaux atteint actuellement un sommet. Puisque nous ne pouvons pas vérifier objectivement la survenance de ces événements, nous augmentons la fréquence des évaluations psychiques de tous les agents.

<i>Notre peuple voit <b>plus</b> de monstres pétroliers sur le terrain. Il n'est pas surprenant que parmi nous, les fervents adeptes de la méthode scientifique expliquent cela alors que nos agents deviennent <b>de plus</b> fous.""</i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_16,Text,,We are receiving reports of psycho-paranormal phenomena occurring in areas where no Mist is present. A likely explanation is that it is another manifestation of the mass psychogenic illness or mass hysteria somehow connected to the Oneiric Delirium.,,Nous recevons des rapports faisant état de phénomènes psychoparanormaux se produisant dans des zones où aucune Brume n'est présente. Une explication probable est qu’il s’agit d’une autre manifestation de la maladie psychogène de masse ou de l’hystérie de masse liée d’une manière ou d’une autre au délirium onirique.,,,,,,
VOID_OMEN_DESCRIPTION_TEXT_17,Text,,"Exploration of havens destroyed by Pandorans typically conform to a scenario of complete destruction of the haven facilities and the physical extermination or kidnapping of all its inhabitants. However, we are receiving reports that havens in areas covered by Mist are suffering a different fate.",,"L'exploration des refuges détruits par les Pandoriens se conforme généralement à un scénario de destruction complète des installations du refuge et d'extermination physique ou d'enlèvement de tous ses habitants. Cependant, nous recevons des rapports selon lesquels les refuges situés dans les zones couvertes par Mist subissent un sort différent.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_18,Text,,"Our intelligence sources within the factions report that they are mobilizing additional personnel to enhance the havens defense capabilities and reduce their dependence on outside help, most notably the Phoenix Project. We have to look for other sources of resource procurement for the time being.

<i>""To keep the Synedrion dream alive, we must keep our people alive. Join the volunteer militia today! Service guarantees basic alimentary allocation."" </i> - Notice on a public Synedrion feed",,"Nos sources de renseignement au sein des factions rapportent qu'elles mobilisent du personnel supplémentaire pour renforcer les capacités de défense des refuges et réduire leur dépendance à l'égard de l'aide extérieure, notamment du projet Phoenix. Nous devons pour le moment rechercher d’autres sources d’approvisionnement en ressources.

<i>""Pour maintenir le rêve du Synédrion en vie, nous devons maintenir notre peuple en vie. Rejoignez la milice volontaire dès aujourd'hui ! Le service garantit une allocation alimentaire de base."" </i> - Avis sur un flux Synédrion public",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_19,Text,,"We have arrived at a troubling conclusion based on recent operational debriefings: the Pandorans seem to possess intelligence regarding our tactics and war doctrine and are physiologically adapting to it on the fly. Our friends at the Bazaar have confirmed that this is a generalized phenomenon and have expressed willingness to assist us in any way they can.

<i>They *know* us. Is it really all that surprsing? We are seeing their nightmares, they learn our tactics.</i>",,"Nous sommes arrivés à une conclusion troublante basée sur les récents débriefings opérationnels : les Pandoriens semblent posséder des renseignements sur nos tactiques et notre doctrine de guerre et s'y adaptent physiologiquement à la volée. Nos amis du Bazar ont confirmé qu'il s'agit d'un phénomène généralisé et ont exprimé leur volonté de nous aider de toutes les manières possibles.

<i>Ils nous *connaissent*. Est-ce vraiment si surprenant ? Nous voyons leurs cauchemars, ils apprennent nos tactiques.</i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_20,Text,,<i>They are always coming up with something new.</i>,,<i>Ils sont toujours en train d'inventer quelque chose de nouveau.</i>,,,,,,
VOID_OMEN_REMOVAL_TEXT_1,Text,,"In the aftermath of heightened hostilities and intensified resource acquisition, the operational landscape gradually reverts to established parameters. The aberrant frequency of ambushes diminishes, returning to standard levels.",,"Au lendemain de l’intensification des hostilités et de l’intensification de l’acquisition de ressources, le paysage opérationnel revient progressivement aux paramètres établis. La fréquence aberrante des embuscades diminue pour revenir aux niveaux standards.",,,,,,
VOID_OMEN_REMOVAL_TEXT_2,Text,,"Following a period characterized by a reduction in political engagement, the populace's interest and involvement in factional dynamics show signs of normalization. Diplomatic challenges resume their standard equilibrium. The ebb and flow of diplomatic interactions return to baseline parameters.",,"Après une période caractérisée par une réduction de l'engagement politique, l'intérêt et l'implication de la population dans les dynamiques factionnelles montrent des signes de normalisation. Les défis diplomatiques reprennent leur équilibre standard. Le flux et le reflux des interactions diplomatiques reviennent aux paramètres de base.",,,,,,
VOID_OMEN_REMOVAL_TEXT_3,Text,,"The reported increase in feelings of persistent tiredness and increased difficulty in executing strenuous mental or physical tasks has subsided, marking a return to standard operational parameters. We attribute with high confidence the recovery to customary levels of operational efficiency to adjustment in pharmacological and direct-stimulatory therapy. ",,"L’augmentation signalée des sensations de fatigue persistante et des difficultés accrues à exécuter des tâches mentales ou physiques intenses s’est atténuée, marquant un retour aux paramètres opérationnels standards. Nous attribuons avec une grande confiance le rétablissement aux niveaux habituels d'efficacité opérationnelle à l'ajustement de la thérapie pharmacologique et de stimulation directe.",,,,,,
VOID_OMEN_REMOVAL_TEXT_4,Text,,"The disconcerting trend observed in operative behavior, marked by increased irritability and self-reliance, has abated. Operational cohesion is restored as operatives regain trust in their teammates. The organization returns to its customary level of teamwork and collaborative task execution",,"La tendance déconcertante observée dans le comportement opérationnel, marqué par une irritabilité et une autonomie accrues, s'est atténuée. La cohésion opérationnelle est rétablie à mesure que les opérateurs reprennent confiance en leurs coéquipiers. L'organisation revient à son niveau habituel de travail d'équipe et d'exécution de tâches collaboratives.",,,,,,
VOID_OMEN_REMOVAL_TEXT_5,Text,,"The peculiar shift in attitude among Haven defenders, rendering them perpetually hostile, has concluded. Normalcy is restored, and the defenders resume their customary disposition.",,"Le changement d’attitude particulier parmi les défenseurs de Haven, les rendant perpétuellement hostiles, a pris fin. La normale est rétablie et les défenseurs reprennent leur disposition habituelle.",,,,,,
VOID_OMEN_REMOVAL_TEXT_6,Text,,"The accelerated evolution observed in Pandoran entities, a response to losses sustained in missions and colonies, has ceased. Concurrently, the augmented research output from the Phoenix Project has returned to standard levels. The intricate dance of adaptation and advancement reaches an equilibrium.",,"L’évolution accélérée observée dans les entités Pandoriennes, en réponse aux pertes subies dans les missions et les colonies, a cessé. Parallèlement, les résultats de recherche accrus du projet Phoenix sont revenus aux niveaux standards. La danse complexe de l’adaptation et du progrès atteint un équilibre.",,,,,,
VOID_OMEN_REMOVAL_TEXT_7,Text,,"The heightened concentrations of Mist observed in covered areas, prompting the augmentation in operative deployment, have abated. The standard Mist levels return, and the organization resumes deploying the customary number of operatives on standard missions. Operational situational awareness is maintained at expected levels.",,"Les concentrations accrues de brume observées dans les zones couvertes, entraînant une augmentation du déploiement opérationnel, ont diminué. Les niveaux de Brume standard reviennent et l'organisation recommence à déployer le nombre habituel d'agents sur des missions standard. La connaissance de la situation opérationnelle est maintenue aux niveaux attendus.",,,,,,
VOID_OMEN_REMOVAL_TEXT_8,Text,,"The heightened diplomatic tensions among factions have dissipated. Intelligence gathered from New Jericho, Disciples of Anu, and Synedrion indicates the conclusion of enhanced security protocols and increased scrutiny of outside contacts. The factions return to standard diplomatic postures, while the temporary doubling of research efforts by factions has concluded.",,"Les tensions diplomatiques accrues entre les factions se sont dissipées. Les renseignements recueillis auprès de la Nouvelle Jéricho, des Disciples d'Anu et de Synédrion indiquent la conclusion de protocoles de sécurité renforcés et d'une surveillance accrue des contacts extérieurs. Les factions reviennent aux postures diplomatiques habituelles, tandis que le doublement temporaire des efforts de recherche par les factions est terminé.",,,,,,
VOID_OMEN_REMOVAL_TEXT_9,Text,,"The heightened frequency of Pandoran concentrations near havens, leading to increased attacks, has subsided. The organization returns to a phase of relative respite from the escalated aggression witnessed against the remaining centers of population. Vigilance, however, remains paramount.",,"La fréquence accrue des concentrations de Pandoriens à proximité des refuges, entraînant une augmentation des attaques, a diminué. L’organisation revient à une phase de répit relatif après l’escalade des agressions contre les centres de population restants. La vigilance reste cependant primordiale.",,,,,,
VOID_OMEN_REMOVAL_TEXT_10,Text,,"The period marked by stronger than expected effects of Mist exposure has concluded. Our operatives, who previously exhibited symptoms resembling myalgic encephalitis or chronic fatigue syndrome, have undergone a transition. ",,"La période marquée par des effets plus forts que prévu de l’exposition à la brume est terminée. Nos opérateurs, qui présentaient auparavant des symptômes ressemblant à une encéphalite myalgique ou à un syndrome de fatigue chronique, ont subi une transition.",,,,,,
VOID_OMEN_REMOVAL_TEXT_11,Text,,"The departure from established behavioral patterns exhibited by Behemoth entities concludes, restoring conventional expectations of their sub-surface duration. The previously elevated disruption threshold, indicative of prolonged above-surface activity, reverts to its customary parameters.",,"L'écart par rapport aux modèles comportementaux établis présentés par les entités Behemoth se termine, rétablissant les attentes conventionnelles quant à leur durée souterraine. Le seuil de perturbation précédemment élevé, indicateur d’une activité prolongée en surface, revient à ses paramètres habituels.",,,,,,
VOID_OMEN_REMOVAL_TEXT_12,Text,,"The surge in Pandoran forces involved in attacks against havens concludes, marking a return to standard levels of engagement. The speculated strategy of overwhelming haven defenses through brute force diminishes, and the havens resume facing challenges within customary parameters.",,"La montée en puissance des forces Pandoriennes impliquées dans les attaques contre les refuges se termine, marquant un retour aux niveaux d'engagement standards. La stratégie spéculée consistant à écraser les défenses des refuges par la force brute diminue, et les refuges recommencent à faire face à des défis dans le cadre des paramètres habituels.",,,,,,
VOID_OMEN_REMOVAL_TEXT_13,Text,,"The accelerated pace of Pandoran colony construction has abated. The construction operations return to their customary tempo, offering a brief reprieve in the intensity and number of new colonies established.",,"Le rythme accéléré de construction des colonies Pandoriennes s’est ralenti. Les opérations de construction reprennent leur rythme habituel, offrant un bref répit dans l'intensité et le nombre de nouvelles colonies établies.",,,,,,
VOID_OMEN_REMOVAL_TEXT_14,Text,,"The unexplainable shortcomings in situational awareness during combat operations, linked to a species-wide perception-reducing effect, have dissipated. Our understanding of the unknown neurological condition remains limited, but operational perception is restored to previous baseline level.",,"Les lacunes inexplicables de la conscience de la situation lors des opérations de combat, liées à un effet de réduction de la perception à l’échelle de l’espèce, se sont dissipées. Notre compréhension de la maladie neurologique inconnue reste limitée, mais la perception opérationnelle est restaurée à son niveau de base précédent.",,,,,,
VOID_OMEN_REMOVAL_TEXT_15,Text,,Reports of encounters with psycho-paranormal phenomena have subsided to previously customary levels. Ongoing psyche evaluations of operatives are maintained for comprehensive assessment.,,Les récits de rencontres avec des phénomènes psychoparanormaux ont atteint des niveaux auparavant habituels. Des évaluations psychologiques continues des agents sont maintenues pour une évaluation complète.,,,,,,
VOID_OMEN_REMOVAL_TEXT_16,Text,,Reports of psycho-paranormal phenomena manifesting in areas devoid of Mist have subsided. Operational vigilance remains a priority.,,Les rapports faisant état de phénomènes psychoparanormaux se manifestant dans des zones dépourvues de Brume se sont atténués. La vigilance opérationnelle reste une priorité.,,,,,,
VOID_OMEN_REMOVAL_TEXT_17,Text,,"The anomalous fate befalling havens destroyed by Pandorans, particularly in areas enveloped by Mist, undergoes diminution to previously observed standards.",,"Le sort anormal réservé aux refuges détruits par les Pandoriens, en particulier dans les zones enveloppées par la Brume, subit une diminution par rapport aux normes précédemment observées.",,,,,,
VOID_OMEN_REMOVAL_TEXT_18,Text,,"The heightened defense capabilities of havens, facilitated by increased factional mobilization, have stabilized. Simultaneously, the reduced dependence on external assistance, notably from the Phoenix Project, concludes.",,"Les capacités de défense accrues des refuges, facilitées par une mobilisation factionnelle accrue, se sont stabilisées. Simultanément, la dépendance réduite à l’égard de l’aide extérieure, notamment du projet Phoenix, se conclut.",,,,,,
VOID_OMEN_REMOVAL_TEXT_19,Text,,"The unsettling phenomenon of Pandorans gaining adaptive resistance to our tactics and war doctrine has abated. Based on recent operational debriefings, it appears that the Pandorans' seemingly intelligent adaptation to our strategies has concluded. Our associates at the Bazaar claim that they are unable to sustain provision of goods and services at reduced prices.",,"Le phénomène inquiétant des Pandoriens qui développent une résistance adaptative à nos tactiques et à notre doctrine de guerre s’est atténué. D'après les récents débriefings opérationnels, il semble que l'adaptation apparemment intelligente des Pandoriens à nos stratégies soit terminée. Nos associés au Bazar affirment qu'ils sont incapables de maintenir la fourniture de biens et de services à des prix réduits.",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_EXTRA_HELENA_5,Text,,"<i>""Belief in extravagant conspiracy theories, attributing supreme power of manipulation and nefarious purpose to an ethnic group or some other collective, was a hallmark of our pre-collapse civilization. Some things I wish we could put under the ground and never dig up.""</i>",,"<i>""La croyance en des théories du complot extravagantes, attribuant un pouvoir suprême de manipulation et des objectifs néfastes à un groupe ethnique ou à un autre collectif, était une caractéristique de notre civilisation d'avant l'effondrement. J'aimerais que nous puissions mettre sous terre et ne jamais creuser certaines choses. vers le haut.""</i>",,,,,,
VOID_OMEN_DESCRIPTION_TEXT_EXTRA_HELENA_6,Text,,"<i>""Have we always been in this race? Also those that had called Earth their home before us?""</i>",,"<i>""Avons-nous toujours participé à cette course ? Également à ceux qui avaient élu domicile sur Terre avant nous ?""</i>",,,,,,
VOID_OMEN_INTRO,Text,,"We believe we are observing the first effects of the Oneiric Delirium on a collective scale. The phenomenon is akin to mass hysteria.

Synedrion psycho-sociologists are rationalizing the documented instances of widespread psychosis as the result of stresses to which our communities are subjected when our species is facing the possibility of extinction.

However, the global scale and eerie thematic homogeneity of these events suggests a different causal relationship.

Given what we know about the Oneiric Delirium and its connection to the Mist, there is little room for doubt: our collective psyche has become another battleground in our struggle with the Pandoravirus.",,"Nous croyons observer les premiers effets du Délire Onirique à l’échelle collective. Le phénomène s’apparente à une hystérie collective.

Les psychosociologues du Synédrion rationalisent les cas documentés de psychose généralisée comme le résultat du stress auquel nos communautés sont soumises lorsque notre espèce est confrontée à la possibilité d'une extinction.

Cependant, l'échelle mondiale et l'étrange homogénéité thématique de ces événements suggèrent une relation causale différente.

Compte tenu de ce que nous savons du Délire Onirique et de son lien avec la Brume, il n’y a guère de place au doute : notre psychisme collectif est devenu un autre champ de bataille dans notre lutte contre le Pandoravirus.",,,,,,
VOID_OMEN_INTRO_TITLE,Text,,Omens of the Void,,Présages du Néant,,,,,,
SDI_01_TEXT_GENERAL_0,Text,,"We are ready to share our preliminary findings regarding the new Pandoravirus outbreak.

The viral mist is an extremely unusual phenomenon. It is in fact a highly complex aerosol, capable of moving with deliberation and transporting viral DNA and other microbes.

It is our belief that the vast waves of mist that helped cause the destruction of civilization were generated underwater by gigantic, mutated structures. Each wave, including the current one (referred to by the population as the Third Mist), has slightly different properties.
",,"Nous sommes prêts à partager nos conclusions préliminaires concernant la nouvelle épidémie de Pandoravirus.

Le brouillard viral est un phénomène extrêmement inhabituel. Il s’agit en fait d’un aérosol très complexe, capable de se déplacer volontairement et de transporter de l’ADN viral et d’autres microbes.

Nous pensons que les vastes vagues de brume qui ont contribué à la destruction de la civilisation ont été générées sous l’eau par de gigantesques structures mutées. Chaque vague, y compris celle actuelle (appelée par la population la Troisième Brume), a des propriétés légèrement différentes.",,,,,,
