Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_REPAIR_KIT_DESCRIPTION,Text,,Removes all negative status effects from target.,,Supprime tous les effets de statut négatifs de la cible.,,,,,,
KEY_REPAIR_KIT_NAME,Text,,Nanotech Fieldkit,,Kit de terrain nanotechnologique,,,,,,
KEY_REPAIR_KIT_ABILITY_DESCRIPTION,Text,,"Removes all acid, bleeding, blind, paralyzed, poisoned, slowed, stun, trembling, viral status from the target.",,"Supprime tout acide, saignement, aveuglement, paralysie, empoisonné, ralenti, étourdissement, tremblement et statut viral de la cible.",,,,,,
KEY_REPAIR_KIT_ABILITY_NAME,Text,,USE NANOTECH FIELDKIT,,UTILISER LE KIT DE TERRAIN NANOTECH,,,,,,
KEY_PX_BLAST_RES_ATTACHMENT_DESCRIPTION,Text,,Blast and Fire Damage Resistant Vest,,Gilet résistant aux dégâts causés par les explosions et le feu,,,,,,
KEY_PX_BLAST_RES_ATTACHMENT_NAME,Text,,Hazard Protection Vest ,,Gilet de protection contre les risques,,,,,,
EXTRAHEALING_NAME,Text,,INCREASED HEALING,,GUÉRISON ACCRUE,,,,,,
EXTRAHEALING_DESCRIPTION,Text,,Increases incoming healing by 25%,,Augmente les soins reçus de 25%,,,,,,
RESISTANCE_TO_PARALYSIS_NAME,Text,,PARALYSIS RESISTANCE,,RÉSISTANCE À LA PARALYSIE,,,,,,
RESISTANCE_TO_PARALYSIS_DESCRIPTION,Text,,Reduces incoming paralysis damage by half,,Réduit de moitié les dégâts de paralysie reçus,,,,,,
KEY_SY_POISON_RES_VEST_ATTACHMENT_DESCRIPTION,Text,,Poison and Paralysis-resistant enhanced healing undersuit,,Sous-combinaison de cicatrisation améliorée résistante au poison et à la paralysie,,,,,,
KEY_SY_POISON_RES_VEST_ATTACHMENT_NAME,Text,,Trauma Response Vest,,Gilet de réponse aux traumatismes,,,,,,
KEY_BLAST_RESISTANCE_NAME,Text,,BLAST RESISTANCE,,RÉSISTANCE AUX EXPLOSIONS,,,,,,
KEY_NJ_FIRE_RES_VEST_ATTACHMENT_DESCRIPTION,Text,,New Jericho Acid-resistant Undersuit Module,,Nouveau module de sous-combinaison Jericho résistant aux acides,,,,,,
KEY_NJ_FIRE_RES_VEST_ATTACHMENT_NAME,Text,,Acid-Res Vest Module,,Module gilet résistant aux acides,,,,,,
KEY_SY_MIST_REPEL_ATTACHMENT_DESCRIPTION,Text,,Synedrion Mist-repellant Leg Module,,Module de jambe Anti-Brume,,,,,,
NANOVEST_NAME,Text,,Nanotech Vest,,Gilet nanotechnologique,,,,,,
NANOVEST_DESCRIPTION,Text,,Enhanced limb protection,,Protection améliorée des membres,,,,,,
NANOVEST_ABILITY_NAME,Text,,INCREASED BODYPART HP,,AUGMENTATION DES PV DES PARTIES DU CORPS,,,,,,
NANOVEST_ABILITY_DESCRIPTION,Text,,Increases the HP of all bodyparts by 10,,Augmente les PV de toutes les parties du corps de 10,,,,,,
KEY_BASE_FACILITY_CONTAINMENT_DESCRIPTION,Text,,"Live Pandorans can be contained here and kept alive. Large creatures will take more space, and space is shared across all facilities. The facility has 25 containment space.",,Les Pandoriens vivants peuvent être confinés ici et maintenus en vie. Les grandes créatures occuperont plus d’espace et l’espace est partagé entre toutes les installations. L'installation dispose de 25 espaces de confinement.,,,,,,
Taxiarch_Nergal,Text,,Taxiarch Nergal,,Taxiarque Nergal,,,,,,
Nikolai,Text,,Nikolai,,Nicolai,,,,,,
Stas,Text,,Stas,,Stas,,,,,,
Zhara,Text,,Zhara,,Zhara,,,,,,
Sophia_Villanova,Text,,Sophia Villanova,,Sophia Villanova,,,,,,
Colonel_Jack_Harlson,Text,,Colonel Jack Harlson,,Colonel Jack Harlson,,,,,,
Captain_Richter,Text,,Captain J. P. Richter,,Capitaine J.P. Richter,,,,,,
KEY_NJ_EXO_BIO_HELMET_DESCRIPTION,Text,,New Jericho Will Disruption Head Augmentation,,Tête perturbatrice de Volonte NJ,,,,,,
KEY_NJ_EXO_BIO_HELMET_LONG_DESCRIPTION,Text,,"Created as an advanced targeting implant, the Disruptor head augmentation was gradually modified to use ultrasound emitters to disrupt enemy mind processes.",,"Créée comme un implant de ciblage avancé, l'augmentation de tête perturbatrice a été progressivement modifiée pour utiliser des émetteurs d'ultrasons pour perturber les processus mentaux ennemis.",,,,,,
KEY_NJ_EXO_BIO_HELMET_NAME2,Text,,Disruptor Head,,Tête perturbatrice,,,,,,
KEY_NJ_EXO_BIO_LEGS_DESCRIPTION,Text,,New Jericho Rocket Legs Augmentation,,Jambes à Propulsion de la Nouvelle Jéricho,,,,,,
KEY_NJ_EXO_BIO_LEGS_LONG_DESCRIPTION,Text,,"Following the design of the Golem-B armor jetpack, the Propeller legs augmentation allows soldiers to traverse short distances flying over low obstacles on the way.",,"Suivant la conception du jetpack blindé Golem-B, l'augmentation des jambes à Propulsion permet aux soldats de parcourir de courtes distances en survolant des obstacles bas sur le chemin.",,,,,,
KEY_NJ_EXO_BIO_LEGS_NAME2,Text,,Propeller Legs,,Jambes à Propulsion,,,,,,
KEY_NJ_EXO_BIO_TORSO_DESCRIPTION,Text,,New Jericho Exoskeletal Torso Augmentation,,Exosquelettique de la Nouvelle Jéricho,,,,,,
KEY_NJ_EXO_BIO_TORSO_LONG_DESCRIPTION,Text,,"A third generation exoskeleton rig that allows a soldier to attach any mounted weapons or mecharms to their frame, increasing their versatility in combat by seventy-nine percent.",,"Une plate-forme d'exosquelette de troisième génération qui permet à un soldat d'attacher des armes ou des mécharms montés à son châssis, augmentant ainsi sa polyvalence au combat de soixante-dix-neuf pour cent.",,,,,,
KEY_NJ_EXO_BIO_TORSO_NAME2,Text,,Neural Torso,,Torse neuronal,,,,,,
KEY_NJ_JUGG_BIO_HELMET_DESCRIPTION,Text,,New Jericho Control Resist Head Augmentation,,Tête de résistance au contrôle de la Nouvelle Jéricho,,,,,,
KEY_NJ_JUGG_BIO_HELMET_LONG_DESCRIPTION,Text,,"A massive head augmentation of reinforced titanium, the Clarity head provides complete protection to the soldier’s brain, while also isolating him from Pandoran mind control.
",,"Augmentation massive de la tête en titane renforcé, la tête de clarté offre une protection complète au cerveau du soldat, tout en l'isolant du contrôle mental de Pandorien.",,,,,,
KEY_NJ_JUGG_BIO_HELMET_NAME2,Text,,Clarity Head,,Tête de clarté,,,,,,
KEY_NJ_JUGG_BIO_LEGS_DESCRIPTION,Text,,New Jericho Safe Landing Legs Augmentation,,Jambes d'atterrissage de la Nouvelle Jéricho,,,,,,
KEY_NJ_JUGG_BIO_LEGS_LONG_DESCRIPTION,Text,,"Based on advanced vehicle hydraulics, the Armadillo legs allow soldiers of up to three tons to land safely from fifty meters height absorbing the entire shock.",,"Basées sur l'hydraulique avancée du véhicule, les jambes Armadillo permettent à des soldats pesant jusqu'à trois tonnes d'atterrir en toute sécurité à une hauteur de cinquante mètres en absorbant l'intégralité du choc.",,,,,,
KEY_NJ_JUGG_BIO_LEGS_NAME2,Text,,Armadillo Legs,,Jambes Armadillo,,,,,,
KEY_NJ_JUGG_BIO_TORSO_DESCRIPTION,Text,,New Jericho Demolishing Torso Augmentation,,Torse de démolition de la Nouvelle Jéricho,,,,,,
KEY_NJ_JUGG_BIO_TORSO_LONG_DESCRIPTION,Text,,"Initially designed for space combat, the Juggernaut torso makes a person immune to the majority of physical attacks, while also allowing soldiers to breach through solid walls by walking through them.",,"Initialement conçu pour le combat spatial, le torse du Juggernaut immunise une personne contre la majorité des attaques physiques, tout en permettant aux soldats de percer des murs solides en les traversant.",,,,,,
KEY_NJ_JUGG_BIO_TORSO_NAME2,Text,,Juggernaut Torso,,Torse de Juggernaut,,,,,,
KEY_SY_SHINOBI_BIO_HELMET_DESCRIPTION,Text,,Synedrion Silent Echo Head Augmentation,,Tête Echo silencieux du Synédrion,,,,,,
KEY_SY_SHINOBI_BIO_HELMET_LONG_DESCRIPTION,Text,,"Based on Triton head physiology, the Echo head augment is able to produce a sound suppression field, increasing soldier's stealth.",,"Basée sur la physiologie de la tête Triton, l'augmentation de tête Echo est capable de produire un champ de suppression sonore, augmentant ainsi la furtivité du soldat.",,,,,,
KEY_SY_SHINOBI_BIO_HELMET_NAME2,Text,,Echo Head,,Tête d'écho,,,,,,
KEY_SY_SHINOBI_BIO_LEGS_DESCRIPTION,Text,,Synedrion Anti-detection Legs Augmentation,,Jambes furtives anti-détection du Synédrion,,,,,,
KEY_SY_SHINOBI_BIO_LEGS_LONG_DESCRIPTION,Text,,"Designed for silent running, the Mirage legs allow soldiers to run through observed areas unnoticed without worrying about enemy Overwatch.",,"Conçues pour une course silencieuse, les jambes du Mirage permettent aux soldats de traverser les zones observées sans se soucier de la surveillance ennemie.",,,,,,
KEY_SY_SHINOBI_BIO_LEGS_NAME2,Text,,Mirage Legs,,Jambes furtives,,,,,,
KEY_SY_SHINOBI_BIO_TORSO_DESCRIPTION,Text,,Synedrion Melee Proficient Torso Augmentation,,Torse d'Augmentation efficace au Corps-à-corps,,,,,,
KEY_SY_SHINOBI_BIO_TORSO_LONG_DESCRIPTION,Text,,"The Vengeance torso augmentation focuses on close combat efficiency, combining reflex enhancers and vital spot targeting assistance. This also allows soldiers to wield melee weapons effectively without prior training.",,"L'augmentation du torse Vengeance se concentre sur l'efficacité du combat rapproché, combinant des amplificateurs de réflexes et une aide au ciblage des points vitaux. Cela permet également aux soldats de manier efficacement les armes de mêlée sans formation préalable.",,,,,,
KEY_SY_SHINOBI_BIO_TORSO_NAME2,Text,,Vengeance Torso,,Torse de vengeance,,,,,,
KEY_MUTATION_PART_HEAD_ARMORED_LONG_DESCRIPTION,Text,,"Developed through Arthron DNA modification, the mutation grants 30 head armor and full daze immunity. Additional +1 to Strength",,"Développée grâce à la modification de l'ADN d'Arthron, la mutation confère 30 armures de tête et une immunité totale contre l'étourdissement. +1 supplémentaire à la Force",,,,,,
KEY_MUTATION_PART_HEAD_PERCEPTOR_LONG_DESCRIPTION,Text,,"Based on Scylla DNA samples, the mutation enhances the senses, increasing Perception by 14 and Accuracy by 10%.",,"Basée sur des échantillons d'ADN de Scylla, la mutation améliore les sens, augmentant la perception de 14 et la précision de 10 %.",,,,,,
KEY_MUTATION_PART_HEAD_RESISTOR_LONG_DESCRIPTION,Text,,"Engineered through Siren gene modification, the mutation offers Poison and Virus resistance, while also increasing Willpower by +2.",,"Conçue grâce à la modification du gène Siren, la mutation offre une résistance aux poisons et aux virus, tout en augmentant la volonté de +2.",,,,,,
KEY_MUTATION_PART_LEG_AGILE_LONG_DESCRIPTION,Text,,"Modified based on Arthron DNA, the mutation grants superior Speed as well as goo immunity and the ability to jump up one storey.",,"Modifiée sur la base de l'ADN d'Arthron, la mutation confère une vitesse supérieure ainsi qu'une immunité anti-glue et la capacité de sauter d'un étage.",,,,,,
KEY_MUTATION_PART_LEG_SNEAKER_LONG_DESCRIPTION,Text,,"Combining Triton and aquatic DNA, the mutation grants superior stealth and the ability to perform Sonic kicks as well as approach Sentinels without being detected.",,"Combinant Triton et ADN aquatique, la mutation confère une furtivité supérieure et la capacité d'effectuer des coups de pied soniques ainsi que d'approcher les Sentinelles sans être détectée.",,,,,,
KEY_MUTATION_PART_LEG_STOMPER_LONG_DESCRIPTION,Text,,"Created from Chiron DNA, the mutation grants Stomping Attack (Shock Attack affecting a 5-tile radius, dazing targets if shock value > target Hit Points). Additional +1 to Strength.",,"Créée à partir de l'ADN de Chiron, la mutation confère une attaque piétinante (attaque de choc affectant un rayon de 5 cases, étourdissant les cibles si la valeur de choc > les points de vie cibles). +1 supplémentaire à la Force.",,,,,,
KEY_MUTATION_PART_PRIEST1_LONG_DESCRIPTION,Text,,"Based on DNA from the Synod of Yearning, the mutation restores 2 Will Points to all friendly living entities within 7 tiles at the start of each turn. Additional +4 to Willpower.",,"Basée sur l'ADN du Synode du Désir, la mutation restaure 2 points de volonté à toutes les entités vivantes amies dans un rayon de 7 cases au début de chaque tour. +4 supplémentaire à la Volonté.",,,,,,
KEY_MUTATION_PART_PRIEST2_LONG_DESCRIPTION,Text,,"Created from DNA of from the Blind Legate, the mutation allows a priest to perform Instil Frenzy (increase Speed by 33% and make them immune to panic) on allied characters. Additional +4 to Willpower.",,"Créée à partir de l'ADN du Légat Aveugle, la mutation permet à un prêtre d'effectuer Instil Frenzy (augmenter la vitesse de 33 % et le rendre immunisé contre la panique) sur les personnages alliés. +4 supplémentaire à la Volonté.",,,,,,
KEY_MUTATION_PART_PRIEST3_LONG_DESCRIPTION,Text,,"Engineered from the Keeper of the Threshhold’s DNA, the mutation grants Mind Control Immunity and the ability to perform a Psychic Scream (reduces the Will Points of all enemy units in an 8 tile radius). Additional +8 to Willpower.",,"Conçue à partir de l'ADN du Gardien du Seuil, la mutation confère l'immunité au contrôle mental et la capacité d'effectuer un cri psychique (réduit les points de volonté de toutes les unités ennemies dans un rayon de 8 cases). +8 supplémentaire à la Volonté.",,,,,,
KEY_MUTATION_PART_TORSO_REGEN_LONG_DESCRIPTION,Text,,"Based on Arthron DNA, the mutation has regeneration capabilities (restore 10 Hit Points to arms and torso at the end of each turn) and fire resistance. Additional +1 to Strength.",,"Basée sur de l'ADN d'Arthron, la mutation possède des capacités de régénération (restaure 10 points de vie aux bras et au torse à la fin de chaque tour) et de résistance au feu. +1 supplémentaire à la Force.",,,,,,
KEY_MUTATION_PART_TORSO_SHOOT_LONG_DESCRIPTION,Text,,"Created through combination of aquatic DNA, the mutation makes it possible to shoot poisonous darts at short distances. The mutation prevents the use of two-handed weapons.",,"Créée grâce à une combinaison d’ADN aquatique, la mutation permet de tirer des fléchettes venimeuses à courte distance. La mutation empêche l’utilisation d’armes à deux mains.",,,,,,
KEY_MUTATION_PART_TORSO_TENTACLE_LONG_DESCRIPTION,Text,,"Two pairs of tentacles that retaliate to any proximity attack. Based on electric eel DNA, the tentacles are capable of performing melee attacks that deal Paralyze damage.",,"Deux paires de tentacules qui ripostent à toute attaque de proximité. Basés sur l'ADN de l'anguille électrique, les tentacules sont capables d'effectuer des attaques de mêlée qui infligent des dégâts de Paralysie.",,,,,,
TFTV_KEY_AC_MACE_NAME,Text,,Reaper,,Faucheur,,,,,,
TFTV_KEY_AC_HEAVY_NAME,Text,,Rebuke,,Riposteur,,,,,,
TFTV_KEY_AC_SNIPER_NAME,Text,,Scorpion,,Scorpion,,,,,,
TFTV_KEY_AC_SCYTHE_NAME,Text,,Scyther,,Faucille,,,,,,
TFTV_KEY_AC_SHOTGUN_NAME,Text,,Shard Gun,,Pistolet à éclats,,,,,,
KEY_KAOSGUNS_AMMO_KS_Obliterator_WeaponDef,Text,,Obliterator Ammo,,Munitions de l'Oblitérateur,,,,,,
KEY_KAOSGUNS_AMMO_DESCRIPTION_KS_Obliterator_WeaponDef,Text,,Obliterator Assault Rifle Magazine,,Chargeur pour fusil d'assaut Oblitérateur,,,,,,
KEY_KAOSGUNS_AMMO_KS_Subjector_WeaponDef,Text,,Subjector Ammo,,Munitions du Subjugueur,,,,,,
KEY_KAOSGUNS_AMMO_DESCRIPTION_KS_Subjector_WeaponDef,Text,,Subjector Sniper Rifle Magazine,,Chargeur pour fusil de précision Subjugueur,,,,,,
KEY_KAOSGUNS_AMMO_KS_Redemptor_WeaponDef,Text,,Redemptor Ammo,,Munitions du Rédempteur,,,,,,
KEY_KAOSGUNS_AMMO_DESCRIPTION_KS_Redemptor_WeaponDef,Text,,Redemptor Shotgun Shells,,Cartouches pour le fusil de chasse Rédempteur,,,,,,
KEY_KAOSGUNS_AMMO_KS_Devastator_WeaponDef,Text,,Devastator Ammo,,Munitions du Dévastateur,,,,,,
KEY_KAOSGUNS_AMMO_DESCRIPTION_KS_Devastator_WeaponDef,Text,,Devastator Cannon Shells,,Obus pour le canon dévastateur,,,,,,
KEY_KAOSGUNS_AMMO_KS_Tormentor_WeaponDef,Text,,Tormentor Ammo,,Munitions du Tourmenteur,,,,,,
KEY_KAOSGUNS_AMMO_DESCRIPTION_KS_Tormentor_WeaponDef,Text,,Tormentor Handgun Magazine,,Chargeur pour l'arme de poing Tourmenteur,,,,,,
KEY_EXPENDABLE_ARCHETYPE_FORMER_PX_NAME,Text,,SECURITY,,SÉCURITÉ,,,,,,
KEY_EXPENDABLE_ARCHETYPE_FORMER_PX_DESCRIPTION,Text,,"This mercenary was employed in the Phoenix Point security detail before the cataclysm, and still proudly carries an older pattern of our gear, now a little worse-for-wear after several years without proper maintenance. When you speak with them they tell you that they had no idea that the project had survived. They are dismissive of suggestions that they join back up with the cause, but mention casually that you would be very welcome to take them on at their standard rates. Plus hazard pay of course.",,"Ce mercenaire était employé dans les services de sécurité de Phoenix Point avant le cataclysme et porte toujours fièrement un modèle plus ancien de notre équipement, maintenant un peu plus usé après plusieurs années sans entretien approprié. Lorsque vous leur parlez, ils vous disent qu'ils ne savaient pas que le projet avait survécu. Ils rejettent les suggestions visant à les inciter à rejoindre la cause, mais mentionnent avec désinvolture que vous seriez les bienvenus pour les embaucher à leur tarif standard. Plus une prime de risque bien sûr.",,,,,,
KEY_EXPENDABLE_ARCHETYPE_FORMER_PX_QUOTE,Text,,"<i>“We already tried to save the world once, and everyone I worked with died. It’s naive to think that everything can be overcome with grit and best intentions. Sometimes you just have to escape, survive, and reassess your priorities.”</i>",,"<i>« Nous avons déjà essayé de sauver le monde une fois, et tous ceux avec qui j'ai travaillé sont morts. Il est naïf de penser que tout peut être surmonté avec du courage et les meilleures intentions. Parfois, il suffit de s'échapper, de survivre et de réévaluer ses priorités. »</i>",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SECTARIAN_NAME,Text,,Sectarian (Berserker),,Sceptique (Berserker),,,,,,
KEY_EXPENDABLE_ARCHETYPE_SECTARIAN_DESCRIPTION,Text,,"This savage fighter belongs to a group of secular sceptics that tore away from the religious teachings of the Anu cult at an early stage in its development, disgusted by its dogmatism. They went on to found their own secretive warrior societies, and make heavy use of hallucinogenic drugs to induce terrifying frenzies on the battlefield. Their numbers have grown since, and they are well known and respected in the bandit settlements, where their heavy axes are symbols of ferocity and suicidal bravery. When you approach them in the bar they grin, and lazily point you to their rates.",,"Ce combattant sauvage appartient à un groupe de sceptiques laïcs qui se sont éloignés très tôt des enseignements religieux du culte d’Anu, dégoûtés par son dogmatisme. Ils ont ensuite fondé leurs propres sociétés guerrières secrètes et ont fait un usage intensif de drogues hallucinogènes pour provoquer des frénésie terrifiantes sur le champ de bataille. Leur nombre a augmenté depuis et ils sont bien connus et respectés dans les camps de bandits, où leurs lourdes haches sont des symboles de férocité et de bravoure suicidaire. Lorsque vous les approchez au bar, ils sourient et vous indiquent paresseusement leurs tarifs.",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SECTARIAN_QUOTE,Text,,"<i>“Life is very precious, you know? You can’t just sacrifice what’s in your soul for people who don’t care whether you live or die. There’s no place in this world for cowards.” </i>",,"<i>« La vie est très précieuse, tu sais ? Vous ne pouvez pas simplement sacrifier ce qu’il y a dans votre âme pour des gens qui ne se soucient pas de savoir si vous vivez ou mourez. Il n’y a pas de place dans ce monde pour les lâches. </i>",,,,,,
KEY_EXPENDABLE_ARCHETYPE_GHOST_NAME,Text,,Ghost (Priest),,Fantôme (Prêtre),,,,,,
KEY_EXPENDABLE_ARCHETYPE_GHOST_DESCRIPTION,Text,,"You hear about them before you see one, and everyone has heard the stories. It was supposed to be a clandestine Synedrion programme, experimenting with shared lucid dreaming, controlled exposure to mist, and other para-physical phenomena, but you have never heard any firm agreement around what these experiments were hoping to achieve. Some say they were trying to develop truly unmediated human closeness and empathy; all that is known for sure is that they managed to escape together, that they live as refugees in the bandit towns, and that they are uniformly unstable. You don’t see this one blink once during the negotiations.",,"Vous en entendez parler avant d’en voir un, et tout le monde a entendu ces histoires. C'était censé être un programme clandestin de Synédrion, expérimentant le rêve lucide partagé, l'exposition contrôlée à la brume et d'autres phénomènes paraphysiques, mais vous n'avez jamais entendu d'accord ferme sur ce que ces expériences espéraient réaliser. Certains disent qu’ils essayaient de développer une proximité et une empathie humaines véritablement immédiates ; tout ce que l'on sait avec certitude, c'est qu'ils ont réussi à s'enfuir ensemble, qu'ils vivent comme réfugiés dans les villes de bandits et qu'ils sont tous instables. On ne voit pas celui-ci cligner des yeux une seule fois pendant les négociations.",,,,,,
KEY_EXPENDABLE_ARCHETYPE_GHOST_QUOTE,Text,,"<i>“Eventually, anyone who associates too closely with real power will also be exposed to it, vulnerable to its movements and its monstrous demands.”</i>",,"<i>« À terme, quiconque s'associe trop étroitement au pouvoir réel y sera également exposé, vulnérable à ses mouvements et à ses exigences monstrueuses. »</i>",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SLUG_NAME,Text,,Slug (Technician),,Bastos (Technicien),,,,,,
KEY_EXPENDABLE_ARCHETYPE_SLUG_DESCRIPTION,Text,,"These mutants are the result of invasive and unsafe treatments against mist exposure. With a mixture of controlled mutation and mechanical restraining armatures, they have managed to keep their personalities intact, but many of them live in pain and most are dissociative at best. They often hire themselves out as haven guards and technical specialists, in order to raise funds that they use to ‘save’ more victims of the mist. They are generally seen in the mutant ghettoes, but this particular soldier has approached you directly and asked about being hired on.",,"Ces mutants sont le résultat de traitements invasifs et dangereux contre l’exposition à la brume. Grâce à un mélange de mutations contrôlées et d’armatures mécaniques de retenue, ils ont réussi à garder leur personnalité intacte, mais beaucoup d’entre eux vivent dans la douleur et la plupart sont, au mieux, dissociatifs. Ils s’engagent souvent comme gardiens de refuge et spécialistes techniques, afin de récolter des fonds qu’ils utilisent pour « sauver » davantage de victimes de la brume. On les voit généralement dans les ghettos mutants, mais ce soldat en particulier vous a contacté directement et vous a demandé s'il pourrait être embauché.",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SLUG_QUOTE,Text,,"<i>“When I look at this world you know sometimes I see nothing worth liking. But it doesn’t matter. There are still people to fight for, people who don’t deserve to suffer like they do.”</i>",,"<i>« Quand je regarde ce monde, tu sais, parfois je ne vois rien qui mérite d'être aimé. Mais cela n’a pas d’importance. Il y a encore des gens pour qui se battre, des gens qui ne méritent pas de souffrir comme eux. »</i>",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SPYMASTER_NAME,Text,,Spymaster (Infiltrator),,Maître espion (Infiltrateur),,,,,,
KEY_EXPENDABLE_ARCHETYPE_SPYMASTER_DESCRIPTION,Text,,"This is one of the infiltrators that work for the rulers of the bandit encampments. These are the  men and women who actually undertake the high-risk sabotage and infiltration missions against the factions, and who stock the bazaar with its more exotic wares. They are also capable and ruthless enforcers and assassins, and their skills make them excellent mercenaries, hired out when their masters are in need of cash. They smile when you approach, and tell you that all the particulars can be finalised on the flight.
",,"C'est l'un des infiltrés qui travaillent pour les dirigeants des campements de bandits. Ce sont ces hommes et ces femmes qui entreprennent les missions de sabotage et d'infiltration à haut risque contre les factions, et qui approvisionnent le bazar de ses marchandises les plus exotiques. Ce sont également des exécuteurs et des assassins compétents et impitoyables, et leurs compétences en font d'excellents mercenaires, engagés lorsque leurs maîtres ont besoin d'argent. Ils sourient lorsque vous approchez et vous disent que tous les détails peuvent être finalisés pendant le vol.",,,,,,
KEY_EXPENDABLE_ARCHETYPE_SPYMASTER_QUOTE,Text,,"<i>“The encampments have been in chaos for years, and it was hard work putting them back together. Lots of people died, lots of people had to be killed. But nothing worth doing is easy, and things are finally improving.”</i>",,"<i>« Les campements sont dans le chaos depuis des années et il a été difficile de les reconstituer. Beaucoup de gens sont morts, beaucoup ont dû être tués. Mais rien qui vaut la peine d'être fait n'est facile, et les choses s'améliorent enfin. »</i>",,,,,,
KEY_EXPENDABLE_ARCHETYPE_DOOM_NAME,Text,,Old Hound (Heavy),,Vieux Briscard (Mastodonte),,,,,,
KEY_EXPENDABLE_ARCHETYPE_DOOM_DESCRIPTION,Text,,"This old soldier is one of the few surviving members of a loose collection of powerful military outfits who fought alongside New Jericho in the years before the collapse. Their gear is ancient and in bad need of repair, and their outdated and poorly-maintained military implants cause them constant pain, which often makes them aggressive and confused, evidenced in trophy-taking and other unethical behaviour. Despite this, you are talking to an experienced veteran and a powerful warrior, who is well accustomed to the rigours of mercenary work.",,"Ce vieux soldat est l'un des rares membres survivants d'un ensemble de groupes militaires puissants qui ont combattu aux côtés de la Nouvelle Jéricho dans les années précédant l'effondrement. Leur équipement est ancien et a cruellement besoin d'être réparé, et leurs implants militaires obsolètes et mal entretenus leur causent une douleur constante, ce qui les rend souvent agressifs et confus, comme en témoignent les prises de trophées et d'autres comportements contraires à l'éthique. Malgré cela, vous parlez à un vétéran expérimenté et à un guerrier puissant, bien habitué aux rigueurs du travail mercenaire.",,,,,,
