Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_DLC3_TUT_RAID_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un volant Pandorien s'est séparé du Festering Skies. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'est pas encore révélé, il enverra un SOS révélant sa position.

Si l'avion Pandoran égaré revient dans l'essaim, le refuge sera la cible du Behemoth. Une fois qu'un refuge est ciblé pour une attaque, rien ne peut être fait pour l'empêcher : une fois que le Behemoth atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les avions Pandoriens pour protéger les refuges, collecter les récompenses des factions et forcer le Behemoth à se submerger.",,,,,,
KEY_DLC3_TUT_RAID_NAME,Text,,PANDORAN FLYER,,DÉPLIANT PANDORIEN,,,,,,
KEY_DLC3_TUT_RECON_DESCRIPTION,Text,,"A Pandoran flyer has separated itself from the Festering Skies. It may come upon a haven and attack it. If the haven is not yet revealed, it will send an SOS disclosing its postion. 

Should the stray Pandoran flyer return to the swarm, the haven will be targeted by the Behemoth. Once a haven is targeted for attack, nothing can be done to prevent it: once the Behemoth reaches the haven, it will damage all its facilities and harvest about half of its population. 

Destroy Pandoran flyers to protect the havens, to colllect rewards from factions and to force the Behemoth to submerge.",,"Un volant Pandorien s'est séparé du Festering Skies. Il peut tomber sur un refuge et l'attaquer. Si le refuge n'est pas encore révélé, il enverra un SOS révélant sa position.

Si l'avion Pandoran égaré revient dans l'essaim, le refuge sera la cible du Behemoth. Une fois qu'un refuge est ciblé pour une attaque, rien ne peut être fait pour l'empêcher : une fois que le Behemoth atteint le refuge, il endommagera toutes ses installations et récoltera environ la moitié de sa population.

Détruisez les avions Pandoriens pour protéger les refuges, collecter les récompenses des factions et forcer le Behemoth à se submerger.",,,,,,
KEY_DLC3_TUT_RECON_NAME,Text,,PANDORAN FLYER,,DÉPLIANT PANDORIEN,,,,,,
KEY_DLC3_TUT_BEHEMOTH_DISRUPTION_DESCRIPTION,Text,,"The Behemoth harvests all the biomass it encounters on its path, showing particular predilection for human havens. Any haven visited by a Pandoran flyer that successfully returns to the Festering Skies will be targeted for harvesting by the Behemoth. Once the Behemoth has collected enough biomass, it will submerge in the ocean. It will emerge again at a different point, sometimes fielding stronger flyers. 

The Behemoth will submerge sooner if it is able to harvest havens or if its harvesting operations are disrupted. The Behemoth will gain Disruption Points (DP) when:
- a haven is harvested (1 DP)
- a Pandoran flyer is destroyed (1 DP if Charun, 2 DP if Berith, and 4 DP if Abaddon)
- a Node is destroyed (5 DP)

Once the Disruption Threshold is reached, the Behemoth will go back to the ocean.",,"Le Behemoth récolte toute la biomasse qu'il rencontre sur son passage, montrant une prédilection particulière pour les refuges humains. Tout refuge visité par un volant Pandorien qui revient avec succès dans les Cieux Festering sera la cible d'une récolte par le Behemoth. Une fois que le Behemoth aura collecté suffisamment de biomasse, il plongera dans l’océan. Il réapparaîtra à un moment différent, alignant parfois des pilotes plus forts.

Le Behemoth submergera plus tôt s'il est capable de récolter des refuges ou si ses opérations de récolte sont perturbées. Le Behemoth gagnera des points de perturbation (DP) lorsque :
- un refuge est récolté (1 DP)
- un Voleur Pandoran est détruit (1 DP si Charun, 2 DP si Berith, et 4 DP si Abaddon)
- un Noeud est détruit (5 DP)

Une fois le seuil de perturbation atteint, le Behemoth retournera vers l'océan.",,,,,,
KEY_DLC3_TUT_BEHEMOTH_DISRUPTION_NAME,Text,,BEHEMOTH BEHAVIOR,,COMPORTEMENT DE BEHEMOTH,,,,,,
KEY_DLC3_TUT_BEHEMOTH_DESCRIPTION,Text,,"The Behemoth will inexorably attack any haven that has been visited by a Pandoran flyer that has successfully returned to the Festering Skies. Once the Behemoth reaches the haven, it will harvest about half of its population and severely damage all of its facilities. To prevent Behemoth's attacks on havens, destroy all Pandoran flyers.",,"Le Behemoth attaquera inexorablement tout refuge visité par un volant Pandorien qui est revenu avec succès dans les cieux purulents. Une fois que le Behemoth aura atteint le refuge, il récoltera environ la moitié de sa population et endommagera gravement toutes ses installations. Pour empêcher les attaques de Behemoth sur les refuges, détruisez tous les flyers Pandorien.",,,,,,
KEY_TUTORIAL_DLC2_ANCIENT_SITE_DESCRIPTION,Text,,"Send an aircraft to set up an Exploration operation at the site. Once Exploration starts, the presence of aircraft is no longer needed.",,"Envoyez un avion pour mettre en place une opération d'exploration sur le site. Une fois l’exploration commencée, la présence d’avions n’est plus nécessaire.",,,,,,
KEY_TUTORIAL_DLC2_EXCAVATION_DONE_NAME,Text,,We've completed our first ancient site Exploration!,,Nous avons terminé notre première exploration de sites antiques !,,,,,,
KEY_TUTORIAL_DLC2_HARVESITNG_DESCRIPTION,Text,,"In TFTV, you immediately gain some amount of an exotic resource when you take control of an ancient site from the Automata. The amount of resources depends on type of resource and difficulty level, or alternatively the manual setting used in the Mod config. ",,"Dans TFTV, vous gagnez immédiatement une certaine quantité de ressource exotique lorsque vous prenez le contrôle d'un site ancien depuis les Automates. La quantité de ressources dépend du type de ressource et du niveau de difficulté, ou bien du paramètre manuel utilisé dans la configuration du Mod.",,,,,,
KEY_TUTORIAL_DLC2_HARVESITNG_NAME,Text,,ANCIENT SITE,,SITE ANCIEN,,,,,,
KEY_TUTORIAL_DLC2_REFINERY_DESCRIPTIOY,Text,,"In TFTV, you immediately gain some amount of an exotic resource when you take control of an ancient site from the Automata. The amount of resources depends on type of resource and difficulty level, or alternatively the manual setting used in the Mod config. ",,"Dans TFTV, vous gagnez immédiatement une certaine quantité de ressource exotique lorsque vous prenez le contrôle d'un site ancien depuis les Automates. La quantité de ressources dépend du type de ressource et du niveau de difficulté, ou bien du paramètre manuel utilisé dans la configuration du Mod.",,,,,,
KEY_TUTORIAL_DLC2_REFINERY_NAME,Text,,ANCIENT SITE,,SITE ANCIEN,,,,,,
KEY_TUTORIAL_DLC2_ARCHEOLOGY_NAME,Text,,We've completed our Archaeology Lab!,,Nous avons terminé notre laboratoire d'archéologie !,,,,,,
HINT_HOSTILE_DEFENDERS_TITLE,Text,,Hostile haven defenders,,Défenseurs du refuge hostiles,,,,,,
HINT_HOSTILE_DEFENDERS_TEXT,Text,,"<i>""Come to rescue us, have they? They are the ones who brought the damn critters on us in the first place! Fragging nerds…""</i>

While this Void Omen is in effect, haven defenders will be hostile to you and attack your operatives on sight, but <b>killing them is not required to win the mission</b>.

Gain XP by protecting structures or civilians as usual.

You can loot crates with faction weapons, but only the equipment in your operatives or vehicles inventory will be recovered.",,"<i>""Ils sont venus nous sauver, n'est-ce pas ? Ce sont eux qui ont amené ces foutues créatures sur nous en premier lieu ! Des nerds qui se fragmentent…""</i>

Pendant que ce Présage du Vide est en vigueur, les défenseurs du refuge vous seront hostiles et attaqueront vos agents à vue, mais <b>les tuer n'est pas nécessaire pour gagner la mission</b>.

Gagnez de l'XP en protégeant les structures ou les civils comme d'habitude.

Vous pouvez piller des caisses avec des armes de faction, mais seul l'équipement de votre inventaire d'agents ou de véhicules sera récupéré.",,,,,,
HINT_FIRE_QUENCHER_TITLE,Text,,Fire Quencher,,Extincteur d'incendie,,,,,,
HINT_FIRE_QUENCHER_TEXT,Text,,"<i>“There was nothing special about this one… Here comes the bisque, I thought… Boy was I wrong.”</i>

Some Arthrons have evolved the ability to instantly quench the fire they come in contact with, replacing it with Mist. They are apparently doing this by spraying some biochemical compound  from their <b>heads</b>. Disabling their heads should remove both their immunity to fire and their ability to quench it.",,"<i>""Il n'y avait rien de spécial à propos de celui-ci... Voici la bisque, pensais-je... Bon sang, j'avais tort.""</i>

Certains Arthrons ont développé la capacité d'éteindre instantanément le feu avec lequel ils entrent en contact, en le remplaçant par de la Brume. Apparemment, ils le font en pulvérisant un composé biochimique depuis leur <b>tête</b>. Désactiver leur tête devrait supprimer à la fois leur immunité au feu et leur capacité à l'éteindre.",,,,,,
KEY_GEO_HINT_AUGMENTATION_SCREEN_DESCRIPTION,Text,,"You are about to augment your first soldier. A character can only have UP TO 2 BODY PARTS replaced this way.

Once an augmentation is installed, the soldier will not be able to revert back to their natural limbs. However, augmented body parts CAN BE SWAPPED with different cybernetic parts.

Augmented body parts are IMMUNE TO BLEEDING and RESISTANT TO VIRAL DAMAGE, POISON, AND PARALYSIS. Damaged cybernetics CAN BE REPAIRED after battle at the expense of Tech and Materials. 

In addition, each bionic augmentation reduces the maximum Delirium the character can have by 1/3, and removes up to that amount of Delirium from the character. 

Augmenting a character will reduce their Stamina to zero.",,"Vous êtes sur le point d'augmenter votre premier soldat. Un personnage ne peut remplacer que JUSQU'À 2 PARTIES DU CORPS de cette façon.

Une fois l’augmentation installée, le soldat ne pourra plus retrouver ses membres naturels. Cependant, les parties du corps augmentées PEUVENT ÊTRE ÉCHANGEÉES par différentes parties cybernétiques.

Les parties du corps augmentées sont IMMUNITAIRES AU SAIGNEMENT et RÉSISTANTES AUX DOMMAGES VIRAUX, AU POISON ET À LA PARALYSE. La cybernétique endommagée PEUT ÊTRE RÉPARÉE après la bataille aux dépens de la technologie et des matériaux.

De plus, chaque augmentation bionique réduit le délire maximum que le personnage peut avoir d'un tiers et supprime jusqu'à cette quantité de délire du personnage.

Augmenter un personnage réduira son endurance à zéro.",,,,,,
KEY_GEO_HINT_ACHERON_CAPTURE_DESCRIPTION,Text,need to change,"Despite our best efforts the finding a cure to the new corruption strain ended in failure. Apparently, the virus in all newer specimens has mutated to such a degree that it is useless for our needs. In order to be successful, we need to find one of the original specimens that escaped from the Lab.",,"Malgré tous nos efforts, la recherche d’un remède à la nouvelle corruption s’est soldée par un échec. Apparemment, le virus présent dans tous les nouveaux spécimens a muté à un tel degré qu’il est inutile pour nos besoins. Pour réussir, nous devons trouver l’un des spécimens originaux échappés du laboratoire.",,,,,,
KEY_GEO_HINT_ACHERON_CAPTURE_NAME,Text,need to change,CORRUPTION CURE RESEARCH FAILURE,,ÉCHEC DE LA RECHERCHE SUR LE REMÈDE À LA CORRUPTION,,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_DESCRIPTION,Text,,"In this Third Mist the Pandoravirus has mutated yet again. The new strain is slowly driving the survivors insane. 

WP are reduced by the amount of Delirium a character has. This effect is, in turn, reduced when the character is well rested: each 10 points in Stamina reduces the effect of Delirium by 1. The maximum amount of Delirium a character can acquire depends on the Oneiric Delirium Index. 

Delirium is gained by participating in missions where Mist is present (""Delirium Areas"") or suffering attacks from Pandorans with Delirium or Co-Delirium damage.

Different ways of dealing or living with Delirium will become avaliable with Phoenix and faction research.",,"Dans cette Troisième Brume, le Pandoravirus a encore muté. La nouvelle souche rend lentement les survivants fous.

Les WP sont réduits par la quantité de Delirium dont dispose un personnage. Cet effet est, à son tour, réduit lorsque le personnage est bien reposé : chaque tranche de 10 points d'Endurance réduit l'effet de Délire de 1. La quantité maximale de Délire qu'un personnage peut acquérir dépend de l'Indice de Délire Onirique.

Le délire s'obtient en participant à des missions où la brume est présente (« zones de délire ») ou en subissant des attaques de Pandorans avec des dégâts de délire ou de co-délire.

Différentes façons de gérer ou de vivre avec Delirium deviendront disponibles grâce à la recherche sur Phoenix et les factions.",,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_NAME,Text,,ONEIRIC DELIRIUM VIRUS STRAIN,,SOUCHE DU VIRUS DU DÉLIRIUM ONEIRIQUE,,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_OVER_DESCRIPTION,Text,NEED TO CHANGE,"After hours of research we have finally found a vaccine that will eliminate the corruption strain for good. As soldiers are being inoculated against the disease, our planes are spreading it over battlefields ensuring that the dead there pose no further threat.
 
Your soldiers can no longer become corrupted. Those that are currently corrupted still need treatment, though.",,"Après des heures de recherche, nous avons finalement trouvé un vaccin qui éliminera définitivement la corruption. Tandis que les soldats sont vaccinés contre la maladie, nos avions la propagent sur les champs de bataille, garantissant que les morts ne constituent plus une menace.
 
Vos soldats ne peuvent plus être corrompus. Ceux qui sont actuellement corrompus ont cependant encore besoin d’un traitement.",,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CORRUPTION_OVER_NAME,Text,NEED TO CHANGE,CORRUPTION VACCINE,,VACCIN CONTRE LA CORRUPTION,,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CURE_DESCRIPTION,Text,,"Now that you have researched a treatment for the Oneiric Delirium, you can remove this condition from your operatives, though they will acquire it again if they operate in an area covered by mist or are attacked by Pandorans with the Delirium attack. In addition, be aware that the treatment can cause SERIOUS and LONG LASTING side effects: every time you make use of it, there is a 25% chance that the operative will acquire one of the special Delirium perks, which grant a negative and a positive ability. The same operative can acquire any number of these special Delirium perks. They will lose these perks eventually as they complete missions, provided that they do not acquire new Delirium perks.
 
In order to treat a soldier you need to pay 50 MUTAGENS for every 25% of Delirium that has affected the soldier as compared to their Willpower.",,"Maintenant que vous avez recherché un traitement contre le Délire onirique, vous pouvez supprimer cette condition de vos agents, mais ils l'acquériront à nouveau s'ils opèrent dans une zone couverte de brume ou sont attaqués par des Pandorans avec l'attaque Delirium. De plus, sachez que le traitement peut provoquer des effets secondaires GRAVES et LONGUES : chaque fois que vous l'utilisez, il y a 25% de chances que l'agent acquière l'un des avantages spéciaux Delirium, qui accordent un effet négatif et un effet positif. capacité. Le même agent peut acquérir n’importe quel nombre de ces avantages spéciaux de Delirium. Ils finiront par perdre ces avantages au fur et à mesure qu'ils accompliront des missions, à condition qu'ils n'acquièrent pas de nouveaux avantages Delirium.
 
Afin de soigner un soldat, vous devez payer 50 MUTAGÈNES pour chaque tranche de 25 % de délire qui a affecté le soldat par rapport à sa volonté.",,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_CURE_NAME,Text,,ONEIRIC DELIRIUM EXPERIMENTAL TREATMENT,,TRAITEMENT EXPÉRIMENTAL DU DÉLIRIUM ONEIRIQUE,,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_MUTOID_DESCRIPTION,Text,,"Mutoids are artificially created by aggresively mutating suitable humans using MUTAGENS. Immune to the Delirium they can learn abilities from all researched Soldier Classes, as well as some Pandoran abilities after an autopsy has been performed.

While a Mutoid can learn many abilities, it can only select one Soldier ability and one Pandoran ability per level. For this additional Mutagens are required.

Mutoids can only be healed at a base using MUTAGENS.",,"Les mutoïdes sont créés artificiellement en mutant de manière agressive des humains appropriés à l'aide de MUTAGÈNES. Immunisés contre le délire, ils peuvent apprendre les capacités de toutes les classes de soldats étudiées, ainsi que certaines capacités de Pandoran après une autopsie.

Bien qu'un Mutoïde puisse apprendre de nombreuses capacités, il ne peut sélectionner qu'une seule capacité de soldat et une capacité de Pandoran par niveau. Pour cela, des mutagènes supplémentaires sont nécessaires.

Les Mutoïdes ne peuvent être soignés que dans une base en utilisant des MUTAGÈNES.",,,,,,
KEY_GEO_HINT_ENEMY_SPECIAL_MUTOID_NAME,Text,,MUTOID SOLDIERS,,SOLDATS MUTOÏDES,,,,,,
KEY_GEOSCAPE_CLEAN_LAIR_MISSION_OBJECTIVE_TITLE,Text,NEED TO CHANGE,Obtain Corruption Sample from Lair,,Obtenir un échantillon de corruption de Lair,,,,,,
KEY_TAC_HINT_STATUS_CORRUPTED_DESCRIPTION,Text,,"Your soldiers have gained one point of Delirium. At the start of the game, Delirium is capped at one third of the character's willpower. This cap will increase as the game progresses.

Delirium reduces Willpower by an equal amount. The lower a soldier's Willpower becomes, the more susceptible they are to panic or mind control, and the less they can use their skills. <b>Each 10 points in Stamina negate the effects of 1 point of Delirium</b>.

Delirium has other effects as well <b>that are not negated by higher Stamina</b>. ",,"Vos soldats ont gagné un point de Délire. Au début du jeu, Delirium est limité à un tiers de la volonté du personnage. Ce plafond augmentera au fur et à mesure de la progression du jeu.

Le délire réduit la volonté d’un montant égal. Plus la volonté d'un soldat diminue, plus il est susceptible de paniquer ou de contrôler son esprit, et moins il peut utiliser ses compétences. <b>Chaque 10 points d'Endurance annulent les effets de 1 point de Délire</b>.

Le délire a également d'autres effets <b>qui ne sont pas annulés par une endurance plus élevée</b>.",,,,,,
KEY_TAC_HINT_STATUS_CORRUPTED_NAME,Text,,SUFFERS ONEIRIC DELIRIUM,,SOUFFRAIT DE DÉLIRIUM ONEIRIQUE,,,,,,
KEY_GEO_HINT_AUGMENTATION_SCREEN_DESCRIPTION,Text,,"You are about to augment your first soldier. A character can only have UP TO 2 BODY PARTS replaced this way.

Once an augmentation is installed, the soldier will not be able to revert back to their natural limbs. However, augmented body parts CAN BE SWAPPED with different cybernetic parts.

Augmented body parts are IMMUNE TO BLEEDING and RESISTANT TO VIRAL DAMAGE, POISON, AND PARALYSIS. Damaged cybernetics CAN BE REPAIRED after battle at the expense of Tech and Materials. 

In addition, each bionic augmentation reduces the maximum Delirium the character can have by 1/3, and removes up to that amount of Delirium from the character. 

Augmenting a character will reduce their Stamina to zero.",,"Vous êtes sur le point d'augmenter votre premier soldat. Un personnage ne peut remplacer que JUSQU'À 2 PARTIES DU CORPS de cette façon.

Une fois l’augmentation installée, le soldat ne pourra plus retrouver ses membres naturels. Cependant, les parties du corps augmentées PEUVENT ÊTRE ÉCHANGEÉES par différentes parties cybernétiques.

Les parties du corps augmentées sont IMMUNITAIRES AU SAIGNEMENT et RÉSISTANTES AUX DOMMAGES VIRAUX, AU POISON ET À LA PARALYSE. La cybernétique endommagée PEUT ÊTRE RÉPARÉE après la bataille aux dépens de la technologie et des matériaux.

De plus, chaque augmentation bionique réduit le délire maximum que le personnage peut avoir d'un tiers et supprime jusqu'à cette quantité de délire du personnage.

Augmenter un personnage réduira son endurance à zéro.",,,,,,
KEY_GEO_HINT_AUGMENTATION_SCREEN_NAME,Text,,AUGMENTING A SOLDIER,,AUGMENTER UN SOLDAT,,,,,,
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_DESCRIPTION,Text,,"The construction of your Cybernetics Lab is complete. You will now be able to AUGMENT SOLDIERS, replacing their natural limbs with powerful cybernetics.

Each augmentation reduces the maximum Delirium a character may have by 1/3 and also immediately removes that much Delirium from the character.  

To Augment a soldier, navigate to the PERSONNEL tab, select EDIT UNIT and then select AUGMENT.",,"La construction de votre laboratoire de cybernétique est terminée. Vous pourrez désormais AUGMENTER LES SOLDATS, en remplaçant leurs membres naturels par de puissantes cybernétiques.

Chaque augmentation réduit le délire maximum qu'un personnage peut avoir de 1/3 et supprime également immédiatement autant de délire du personnage.

Pour augmenter un soldat, accédez à l'onglet PERSONNEL, sélectionnez MODIFIER L'UNITÉ, puis sélectionnez AUGMENTATION.",,,,,,
KEY_GEO_HINT_CYBERNETICS_LAB_BUILT_NAME,Text,,AUGMENTATION NOW AVAILABLE,,AUGMENTATION MAINTENANT DISPONIBLE,,,,,,
KEY_GEO_HINT_MUTATION_LAB_BUILT_DESCRIPTION,Text,,"The construction of your Mutation Lab is complete. You will now be able to MUTATE SOLDIERS, replacing their natural limbs with ones enhanced by Pandoravirus mutation.

To Mutate a soldier, navigate to the PERSONNEL tab, select EDIT UNIT and then select MUTATE.

In addition, if you have completed the Mutagen harvesting technology, your mutation lab will automatically extract mutagens from any Pandorans held in your Containment facilities. ",,"La construction de votre laboratoire de mutation est terminée. Vous pourrez désormais MUTER DES SOLDATS, en remplaçant leurs membres naturels par ceux améliorés par la mutation du Pandoravirus.

Pour faire muter un soldat, accédez à l'onglet PERSONNEL, sélectionnez MODIFIER L'UNITÉ, puis sélectionnez MUTER.

De plus, si vous avez terminé la technologie de récolte de mutagènes, votre laboratoire de mutation extraira automatiquement les mutagènes de tous les Pandorans détenus dans vos installations de confinement.",,,,,,
KEY_GEO_HINT_MUTATION_LAB_BUILT_NAME,Text,,MUTATION NOW AVAILABLE,,MUTATION MAINTENANT DISPONIBLE,,,,,,
