Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,,UI_Tester
PR_BC_ADRENALINE_DESC,Text,,"Until end of turn one-handed weapons and all non-weapon skills cost 1AP, except Recover",,"Jusqu'à la fin du tour, les armes à une main et toutes les compétences non liées aux armes coûtent 1 PA, sauf la Récupération.",,,,"Одноручное вооружение и не стрелковые навыки стоят 1 ОД. Не действует на ""восстановление""",,
PR_BC_BLOODLUST_DESC,Text,,Gain up to 25% Speed and Damage based on lost Health.,,Gagne jusqu'à 25 % de vitesse et de dégâts en fonction des points de vie perdus.,,,,,,
PR_BC_GUN_KATA,Text,,GUN KATA,,KATA D’ARME,,,,ПИСТОЛЕТНЫЙ БОЙ,,
PR_BC_GUN_KATA_DESC,Text,,Shoot with your handgun for free. Limited to 2 uses per turn.,,Tire avec votre arme de poing gratuitement. Limité à 2 utilisations par tour.,,,,Выстрелите из пистолета за 0 ОД. 2 раза в ход.,,
PR_BC_EXERTION,Text,,EXERTION,,EFFORT PHYSIQUE,,,,НАПРЯЖЕНИЕ,,
PR_BC_EXERTION_DESC,Text,,Recover 2AP. Limited to 1 use per turn.,,Récupérer 2 PA. Limité à 1 utilisation par tour.,,,,Восстановите 2 ОД. Один раз в ход.,,
PR_BC_KILLER_INSTINCT,Text,,KILLER INSTINCT,,INSTINCT DE TUEUR,,,,,,
PR_BC_KILLER_INSTINCT_DESC,Text,,"At the beginning of your turn, if there is an enemy within 5 tiles your next attack costs -2AP",,"Au début de votre tour, s'il y a un ennemi à moins de 5 cases, votre prochaine attaque coûte -2 PA.",,,,,,
PR_BC_KILLER_INSTINCT_STATUS,Text,,KILLER INSTINCT TRIGGERED,,INSTINCT DE TUEUR DÉCLENCHÉ,,,,,,
PR_BC_KILLER_INSTINCT_STATUS_DESC,Text,,"There is an enemy within 5 tiles, your next attack costs -2AP.",,"S'il y a un ennemi à moins de 5 cases, votre prochaine attaque coûte -2 PA.",,,,,,
PR_BC_SNEAK_ATTACK,Text,,SNEAK ATTACK,,ATTAQUE SURPRISE,,,,СКРЫТАЯ АТАКА,,
PR_BC_SNEAK_ATTACK_DESC,Text,,Attacks while hidden deal +50% and while located +25% damage,,Les attaques lorsque vous êtes caché infligent +50 % de dégâts,,,,"Если вы спрятаны, ваши атаки наносят +50% урона. Если вас услышали, но не раскрыли, то лишь +25% урона",,
PR_BC_SA_HIDDEN_DESC,Text,,HIDDEN: Deal +50% damage,,CACHÉ : Inflige +50 % de dégâts,,,,СПРЯТАН: Урон увеличен на 50%,,
PR_BC_SA_LOCATED_DESC,Text,,LOCATED: Deal +25% damage,,LOCALISÉ : Inflige +25 % de dégâts,,,,УСЛЫШАН: Урон увеличен на 25%,,
PR_BC_HOMING_DRONE,Text,,HOMING DRONE,,DRONE AUTOGUIDÉ,,,,,,
PR_BC_HOMING_DRONE_DESC,Text,,Shoot your Spider Drone at the target. Next time the target takes damage the drone will explode causing blast damage in the area,,"Tire sur la cible avec votre drone araignée. La prochaine fois que la cible subira des dégâts, le drone explosera, provoquant des dégâts d'explosion dans la zone.",,,,,,
PR_BC_CAUTIOUS,Text,,CAUTIOUS,,PRUDENT,,,,,,
PR_BC_CAUTIOUS_DESC,Text,,Gain +20% accuracy and +10% stealth,,"""Gagne +20 % de précision et +10 % de furtivité""",,,,,,
PR_BC_NEURAL_FEEDBACK,Text,,NEURAL FEEDBACK,,RÉTROACTION NEURONALE,,,,,,
PR_BC_NEURAL_FEEDBACK_DESC,Text,,Gain 2AP the first time you daze an enemy during the turn,,Gagne 2 PA la première fois que vous étourdissez un ennemi pendant le tour,,,,,,
PR_BC_JAMMING_FIELD,Text,,JAMMING FIELD,,CHAMP DE BROUILLAGE,,,,,,
PR_BC_JAMMING_FIELD_DESC,Text,,Enemies within 10 tiles have 50% fumble chance with firearms,,Les ennemis dans un rayon de 10 cases ont 50 % de chances d'échouer leurs tirs avec des armes à feu.,,,,,,
PR_BC_PARAPSYCHOSIS,Text,,PARAPSYCHOSIS,,PARAPSYCHOSE,,,,,,
PR_BC_PARAPSYCHOSIS_DESC,Text,,Target human-sized enemy within 12 tiles becomes Wild,,"Cible un ennemi de taille humaine dans un rayon de 12 cases, qui deviendra Sauvage",,,,,,
PR_BC_ELECTRIC_REINFORCEMENT,Text,,ELECTRIC REINFORCEMENT,,RENFORCEMENT ÉLECTRIQUE,,,,ЭЛЕКТРО-УКРЕПЛЕНИЕ,,
PR_BC_ELECTRIC_REINFORCEMENT_DESC,Text,,Give yourself and allies within 10 tiles a bonus of 10 armor for 1 turn. This effect does not stack,,Accorde à vous-même et à vos alliés dans un rayon de 10 cases un bonus de 10 points d'armure pendant 1 tour. Cet effet ne se cumule pas,,,,Техник и союзники в радиусе 10 клеток получают 10 брони до начала следующего хода. Использование более одного раза не увеличивает броню.,,
PR_BC_STABILITY,Text,,STABILITY,,STABILITÉ,,,,УСТОЙЧИВОСТЬ,,
PR_BC_STABILITY_DESC,Text,,Gain 10% extra accuracy per remaining AP up to 40%,,Gagne 10 % de précision supplémentaire par Point d'Action restant jusqu'à 40 %,,,,Каждое не использованное ОД добавляет 10% точности (макс 40% при 4 ОД),,
PR_BC_AMPLIFY_PAIN,Text,,AMPLIFY,,AMPLIFICATION,,,,УСИЛЕНИЕ,,
PR_BC_AMPLIFY_PAIN_DESC,Text,,"Until End of Turn gain +100% to healing and +50% to special damage (Acid, Paralysis, Viral, Poison)",,"Jusqu'à la fin du tour, gagne +100 % aux soins et +50 % aux dégâts spéciaux (acide, paralysie, viral, poison).",,,,"До конца хода все лечение на 100% более эффективно. Атаки кислотой, вирусом, ядом и параличом эффективнее на 50%.",,
PR_BC_BIOCHEMIST,Text,,BIOCHEMIST,,BIOCHIMISTE,,,,,,
PR_BC_BIOCHEMIST_DESC,Text,,"Viral, Paralysis, Poison and Acid damage increased by 25% for direct damage and 5% for grenades on each hit body part",,"Dégâts viraux, paralysie, poison et acide augmentés de 25 % pour les dégâts directs et de 5 % pour les grenades sur chaque partie du corps touchée.",,,,,,
PR_BC_LAY_WASTE,Text,,LAY WASTE,,GASPILLAGE,,,,ОПУСТОШИТЬ,,
PR_BC_LAY_WASTE_DESC,Text,,If your current Willpower score is higher than target's deal 20 damage for each point of WP difference to a maximum of 200 damage,,"Si votre score de Volonté actuel est supérieur à celui de la cible, inflige 20 dégâts pour chaque point de différence, jusqu'à un maximum de 200 dégâts.",,,,Наносит 20 урона цели за каждое очко разницы между вашими ОВ. Максимум 200 урона.,,
PR_BC_ENDURANCE,Text,,ENDURANCE,,ENDURANCE,,,,ВЫНОСЛИВОСТЬ,,
PR_BC_ENDURANCE_DESC,Text,,"Recover restores additional 25% Willpower and removes Acid, Poison and Bleeding effects.",,"La Récupération restaure 25 % de volonté supplémentaire et supprime les effets d'acide, de poison et de saignement.",,,,"Восстановление возвращает на 25% больше воли, а также снимает эффекты кислоты, яда и кровотечения",,
PR_BC_SABOTEUR,Text,,SABOTEUR,,SABOTEUR,,,,ДИВЕРСАНТ,,
PR_BC_SABOTEUR_DESC,Text,,When you are hidden AP cost of non-weapon skills and spider drone skills decreased by 1 AP,,"Lorsque vous êtes caché, le coût en PA des compétences non liées aux armes et des compétences de drone-araignée est réduit de 1 PA.",,,,"Пока вы спрятаны, стоимость не атакующих навыков и паучьих дронов уменьшена на 1 ОД",,
PR_BC_DIE_HARD,Text,,DIE HARD,,IRRÉDUCTIBLE,,,,,,
PR_BC_DIE_HARD_DESC,Text,,When you take lethal damage there is a chance to survive with 1HP and have all negative effects cleared. Can only trigger once per mission.,,"Lorsque vous subissez des dégâts mortels, vous avez une chance de survivre avec 1 PV et de faire disparaître tous les effets négatifs. Ne peut se déclencher qu'une seule fois par mission.",,,,,,
PR_BC_DIE_HARD_TRIGGERED,Text,,DIE HARD,,IRRÉDUCTIBLE,,,,,,
PR_BC_DIE_HARD_TRIGGERED_DESC,Text,,"Die Hard has saved your life once already, so there is no more chance for this mission!",,"Irréductible vous a déjà sauvé la vie une fois, il n'y a donc plus aucune chance pour cette mission !",,,,,,
PR_BC_DIE_HARD_KEEPALIVE,Text,,DIE HARDER,,LE PLUS DUR,,,,,,
PR_BC_DIE_HARD_KEEPALIVE_DESC,Text,,You took lethal damage this turn and Die Hard saved your life. You are invulnerable until the end of this turn.,,Vous avez subi des dégâts mortels ce tour-ci et Irréductible vous a sauvé la vie. Vous êtes invulnérable jusqu'à la fin de ce tour.,,,,,,
PR_BC_BATTLEHARDENED,Text,,BATTLE HARDENED,,ENDURCI AU COMBAT,,,,ЗАКАЛЕННЫЙ,,
PR_BC_BATTLEHARDENED_DESC,Text,,"Gain +2 to all primary stats, +10% to accuracy and +4 to perception",,"Gagne +2 à toutes les statistiques principales, +10 % à la précision et +4 à la perception",,,,"Бонус +2 к основным характеристикам, а также +10% точности и +4 восприятия",,
PR_BC_TAKEDOWN,Text,,TAKEDOWN,,DÉMOLITION,,,,ЗАХВАТ,,
PR_BC_TAKEDOWN_DESC,Text,,Deal 80 damage and 160 shock damage to an adjacent target. Replaces Bash.,,Inflige 80 dégâts et 160 dégâts de choc à une cible adjacente. Remplace 'Cogner'.,,,,Рукопашная атака наносящая 80 урона и 160 урона оглушением. Заменяет удар прикладом.,,
PR_BC_PUNISHER,Text,,PUNISHER,,PUNISSEUR,,,,КАРАТЕЛЬ,,
PR_BC_PUNISHER_DESC,Text,,"When you kill an enemy, his allies lose 2 additional Will Points",,"Lorsque vous tuez un ennemi, ses alliés perdent 2 points de volonté supplémentaires.",,,,"Когда вы убиваете врага, все враги теряют 2 ОВ дополнительно.",,
PR_BC_PEPPER_CLOUD,Text,,PEPPER CLOUD,,NUAGE DE POIVRE,,,,,,
PR_BC_PEPPER_CLOUD_DESC,Text,,Enemies in 8 tile radius suffer -50% accuracy,,Les ennemis dans un rayon de 8 cases subissent une perte de précision de -50 %,,,,,,
PR_BC_AR_TARGETTING,Text,,AR TARGETING,,CIBLAGE ALLIÉ,,,,ВИРТУАЛЬНЫЙ ПРИЦЕЛ,,
PR_BC_AR_TARGETTING_DESC,Text,,Target ally within 10 tiles gains +30% accuracy,,L'allié ciblé dans un rayon de 10 cases gagne +30 % de précision,,,,Союзная цель в радиусе 10 клеток получает +30% точности,,
PR_BC_PHANTOM_PROTOCOL,Text,,PHANTOM PROTOCOL,,PROTOCOLE FANTÔME,,,,ФАНТОМ,,
PR_BC_PHANTOM_PROTOCOL_DESC,Text,,"Gain +15% stealth and accuracy, provides immunity to Sentinels surveillance ability",,"Gagne +15 % de furtivité et de précision, procure une immunité à la capacité de surveillance des Sentinelles.",,,,Получите +15% точности и скрытности. Также Стражи не реагируют при вашем приближении.,,
PR_BC_SOWER_OF_CHANGE,Text,,SOWER OF CHANGE,,SEMEUR DE CHANGEMENT,,,,СЕЯТЕЛЬ ПЕРЕМЕН,,
PR_BC_SOWER_OF_CHANGE_DESC,Text,,Returns 25% of damage as Viral to the attacker,,Renvoie 25 % des dégâts sous forme de dégât viral à l'attaquant.,,,,Возвращает атакующему 25% урона в виде вируса,,
PR_BC_SURVIVOR,Text,,SURVIVOR,,SURVIVANT,,,,ВЫЖИВШИЙ,,
PR_BC_SURVIVOR_DESC,Text,,"<b>WP +4, but -2 STR</b>
<i>You have had it tougher than most, and that's saying a lot. Your body took a toll, but your mind grew stronger</i>",,"<b>VOL +4, mais -2 FOR</b>
<i>Vous avez vécu une situation plus difficile que la plupart des autres, et cela en dit long. Votre corps a fait des ravages, mais votre esprit est devenu plus fort</i>",,,,"<b>Воля +4, Сила -2</b>
<i>Вам досталось больше других и это о многом говорит. Но все, что не убивает нас, делает сильнее</i>",,
PR_BC_NURSE,Text,,NURSE,,INFIRMIÈRE,,,,СИДЕЛКА,,
PR_BC_NURSE_DESC,Text,,"<b>WP +2. Healing +30%</b>
<i>Yes, there is a gentler side to you. But people have to get hurt to experience it</i>",,"<b>VOL +2. Guérison +30 %</b>
<i>Oui, il y a un côté plus doux chez vous. Mais les gens doivent être blessés pour en faire l'expérience.</i>",,,,"<b>Воля +2, Лечение +30%</b>
<i>Да, в вас есть и мягкая сторона. Но знают о ней только те, кто познал боль</i>",,
PR_BC_SCAV,Text,,SCAV,,CHAROGNARD,,,,ПАДАЛЬЩИК,,
PR_BC_SCAV_DESC,Text,,"<b>WP +2, Perception +4</b>
<i>The Old World left behind all sorts of interesting things. It takes patience and a keen eye to find them</i>",,"<b>VOL +2, Perception +4</b>
<i>Le Vieux Monde a laissé derrière lui toutes sortes de choses intéressantes. Il faut de la patience et un œil vif pour les trouver</i>",,,,"<b>Воля +2, Восприятие +4</b>
<i>Старый Мир оставил после себя множество вещей, чтобы разыскать их нужно терпение и зоркий глаз</i>",,
PR_BC_CORPSE_DISPOSER,Text,,CORPSE DISPOSER,,DESTRUCTEUR DE CADAVRES,,,,СЖИГАТЕЛЬ ТРУПОВ,,
PR_BC_CORPSE_DISPOSER_DESC,Text,,"<b>Fire Resistance</b>
<i>There were too many to bury, so you had to burn them. Day after day, week after week. It's not the fire that scares you</i>",,"<b>Résistance au feu</b>
<i>Il y en avait trop pour les enterrer, il fallait donc les brûler. Jour après jour, semaine après semaine. Ce n'est pas le feu qui te fait peur</i>",,,,"<b>Защита от огня</b>
<i>Тел было слишком много, чтобы похоронить всех, так что вы сожгли их. Вовсе не огонь страшит вас</i>",,
PR_BC_HARD_LABOR,Text,,HARD LABOR,,DUR LABEUR,,,,РАЗНОРАБОЧИЙ,,
PR_BC_HARD_LABOR_DESC,Text,,"<b>STR +4, Perception -4</b>
<i>The New World didn't just build itself. There was lot of digging, lifting and carrying, and dust and noise everywhere</i>",,"<b>Force +4, Perception -4</b>
<i>Le Nouveau Monde ne s'est pas construit tout seul. Il y avait beaucoup de travail pour creuser, soulever et transporter, et il y avait de la poussière et du bruit partout</i>",,,,"<b>Сила +4, Восприятие -4</b>
<i>Новый Мир не возник сам по себе. Пришлось много копать, таскать и поднимать. И повсюду шум и пыль</i>",,
PR_BC_SQUATTER,Text,,SQUATTER,,SQUATTEUR,,,,СКИТАЛЕЦ,,
PR_BC_SQUATTER_DESC,Text,,"<b>STR +2, Carry Weight +25%</b>
<i>In the camps you carried everything on your person at all times. And sometimes you had to take things from other people</i>",,"<b>Force +2, poids transport +25 %</b>
<i>Dans les camps, vous portiez tout sur vous à tout moment. Et parfois il fallait prendre des choses aux autres</i>",,,,"<b>Сила +2, Допустимый вес +25%</b>
<i>В лагерях все приходилось держать при себе. А иногда отбирать вещи у других</i>",,
PR_BC_VOLUNTEERED,Text,,VOLUNTEERED,,BÉNÉVOLE,,,,ДОБРОВОЛЕЦ,,
PR_BC_VOLUNTEERED_DESC,Text,,"<b>Nightvision, +2 SPD, -2WP</b>
<i>They gave you cat eyes and reflex enhancers, and nothing for the headaches that came after</i>",,"<b>Vision nocturne, +2 VIT, -2 VOL</b>
<i>Ils vous ont donné des yeux de chat et des amplificateurs de réflexes, et rien pour les maux de tête qui ont suivi</i>",,,,"<b>Ночное видение. Скорость +2, Воля -2</b>
<i>Они дали тебе глаза и рефлексы кошки. Но ничего, чтобы заглушить головные боли, которые пришли позже</i>",,
PR_BC_CONDO_RAIDER,Text,,CONDO RAIDER,,YAMAKASI,,,,ФОРТОЧНИК,,
PR_BC_CONDO_RAIDER_DESC,Text,,"<b>Jump up or down one building level</b>
<i>The world is full of broken elevators and collapsed staircases, and the pros in this business don't use ladders</i>",,"<b>Sauter vers le haut ou vers le bas d'un niveau du bâtiment</b>
<i>Le monde est plein d'ascenseurs en panne et d'escaliers effondrés, et les professionnels de ce secteur n'utilisent pas d'échelles</i>",,,,"<b>Может прыгать на 1 уровень вверх не используя лестницы</b>
<i>Мир полон сломанных лифтов и обвалившихся пролетов. И профи в нашем деле не пользуются лестницами</i>",,
PR_BC_TUNNEL_RAT,Text,,TUNNEL RAT,,RAT DES TUNNELS,,,,ТУННЕЛЬНАЯ КРЫСА,,
PR_BC_TUNNEL_RAT_DESC,Text,,"<b>Stealth +15%, SPD +1</b>
<i>You spent a good spell in the sewers. You had to be quiet, real quiet... And then run like hell!</i>",,"<b>Furtivité +15 %, VIT +1</b>
<i>Vous avez passé un bon moment dans les égouts. Il fallait être silencieux, très silencieux... Et ensuite courir comme un diable !</i>",,,,"<b>Скрытность +15%, Скорость +1</b>
<i>Вы много времени провели в канализации. Приходилось быть тихим, очень тихим... а затем бежать сломя голову</i>",,
PR_BC_HUNTER,Text,,HUNTER,,CHASSEUR,,,,ОХОТНИК,,
PR_BC_HUNTER_DESC,Text,,"<b>Accuracy +10%</b>
<i>There used to be game and hunger around these parts</i>",,"<b>Précision +10 %</b>
<i>Il y avait du gibier et de la faim dans ces régions</i>",,,,"<b>Точность +10%</b>
<i>Когда-то в этих краях не люди были добычей</i>",,
PR_BC_TROUBLEMAKER,Text,,TROUBLEMAKER,,PERTURBATEUR,,,,БЕДОКУР,,
