Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_TIP_GEOSCAPE_3,Text,,Void Omens can be removed by destroying Pandoran Lairs or Citadels (or Nests if you are playing on Rookie).,,Les présages du Néant peuvent être supprimés en détruisant les repaires ou les citadelles des Pandoriens (ou les nids si vous jouez en tant que Rookie).,,,,,,
TFTV_TIP_GEOSCAPE_4,Text,,Pandoran Colonies and Infested Havens speed up Pandoran Evolution.,,Les colonies Pandoriennes et les refuges infestés accélèrent l'évolution Pandorienne.,,,,,,
TFTV_TIP_GEOSCAPE_5,Text,,Beware of ambushes when exploring!,,Méfiez-vous des embuscades lors de l'exploration !,,,,,,
TFTV_TIP_GEOSCAPE_6,Text,,You can buy Faction Technologies in the Marketplace.,,Vous pouvez acheter des technologies de faction sur le marché.,,,,,,
TFTV_TIP_GEOSCAPE_7,Text,,Reverse Engineering an item will allow the player to research the underlying Faction Technology.,,L'ingénierie inverse d'un objet permettra au joueur de rechercher la technologie de faction sous-jacente.,,,,,,
TFTV_TIP_GEOSCAPE_8,Text,,You don't have to follow the Symes questline to win; activate a couple old Phoenix bases to see if there is anything interesting in their archives...,,Vous n'êtes pas obligé de suivre la série de quêtes Symes pour gagner ; activez quelques anciennes bases Phoenix pour voir s'il y a quelque chose d'intéressant dans leurs archives...,,,,,,
TFTV_TIP_GEOSCAPE_9,Text,,The FAR-M module that comes equipped on your starting Manticore adds 4 seats and stamina regeneration to everyone on board.,,Le module FAR-M fourni avec votre Manticore de départ ajoute 4 sièges et une régénération d'endurance à tout le monde à bord.,,,,,,
TFTV_TIP_GEOSCAPE_10,Text,,"There are 4 different Passenger Modules for your aircraft, each granting a different bonus in addition to the extra seats. You will unlock them as you acquire Faction Technologies.",,"Il existe 4 modules passagers différents pour votre avion, chacun accordant un bonus différent en plus des sièges supplémentaires. Vous les débloquerez en acquérant les technologies de faction.",,,,,,
TFTV_TIP_GEOSCAPE_11,Text,,"A Haven under attack will send out an S.O.S., revealing its position.",,"Un Haven attaqué enverra un S.O.S., révélant sa position.",,,,,,
TFTV_TIP_GEOSCAPE_12,Text,,Build or repair satellite uplinks at your bases to discover Points of Interest and increase the chance of detecting a Pandoran Colony after successfully defending a haven.,,Construisez ou réparez des liaisons satellites dans vos bases pour découvrir des points d'intérêt et augmenter les chances de détecter une colonie Pandorienne après avoir défendu avec succès un refuge.,,,,,,
TFTV_TIP_GEOSCAPE_13,Text,,"As long as haven leaders are not hostile to the Phoenix Project, they will continue to offer recruits, though at a higher price if they dislike you.",,"Tant que les dirigeants du refuge ne seront pas hostiles au projet Phoenix, ils continueront à proposer des recrues, mais à un prix plus élevé s'ils ne vous aiment pas.",,,,,,
TFTV_TIP_GEOSCAPE_14,Text,,"As the Oneiric Delirium advances more negative effects will come in play, including Void Omens.",,"À mesure que le délirium onirique progresse, de plus en plus d'effets négatifs entreront en jeu, y compris les présages du Néant.",,,,,,
TFTV_TIP_GEOSCAPE_15,Text,,Havens destroyed inside the Mist can become Infested.,,Les refuges détruits à l'intérieur de la Brume peuvent devenir infestés.,,,,,,
TFTV_TIP_GEOSCAPE_16,Text,,"Infested Havens cannot be saved, but unique rewards can be salvaged and some population recovered.",,"Les Havres Infestés ne peuvent pas être sauvegardés, mais des récompenses uniques peuvent être récupérées et une partie de la population récupérée.",,,,,,
TFTV_TIP_GEOSCAPE_17,Text,,"If you are looking for a challenge, check the Make Pandorans Stronger option at the start of the game. If you are still finding everything too easy, try the ETERMES difficulty. Report if you survive, would you kindly. ",,"Si vous recherchez un défi, cochez l'option Rendre les Pandoriens plus forts au début du jeu. Si vous trouvez toujours tout trop facile, essayez la difficulté ETERMES. Signalez-le si vous survivez, pourriez-vous bien vouloir le faire.",,,,,,
TFTV_TIP_GEOSCAPE_18,Text,,"If you are finding the game too hard, try playing on Story Mode or Rookie. You can also choose a different difficulty setting for the Tactical portion of the game. You can do so either on starting a new game or in the mod config.",,"Si vous trouvez le jeu trop difficile, essayez de jouer en mode Histoire ou Rookie. Vous pouvez également choisir un niveau de difficulté différent pour la partie tactique du jeu. Vous pouvez le faire soit au démarrage d'un nouveau jeu, soit dans la configuration du mod.",,,,,,
TFTV_TIP_GEOSCAPE_19,Text,,"If you run into any Error Messages or other bugs, please report them in our #bug-reporting channel at the Terror from the Void Discord server.",,"Si vous rencontrez des messages d'erreur ou d'autres bugs, veuillez les signaler dans notre canal #bug-reporting sur le serveur Discord 'Terror from the Void'.",,,,,,
TFTV_TIP_TACTICAL_1,Text,,The total amount of Delirium of all your operatives present on the mission determines the chance that an Arthron or a Triton will be Touched by the Void.,,Le montant total de Delirium de tous vos agents présents sur la mission détermine la chance qu'un Arthron ou un Triton soit touché par le Néant.,,,,,,
TFTV_TIP_TACTICAL_2,Text,,"Umbras can only attack characters that have at least one Delirium point, or are inside the Mist.",,Les Umbras ne peuvent attaquer que les personnages qui ont au moins un point de Délirium ou qui se trouvent à l'intérieur de la Brume.,,,,,,
TFTV_TIP_TACTICAL_3,Text,,The impact of Delirium on Willpower is weakened if your operative is well rested. Every 10 Stamina will reduce the effect of Delirium on Willpower by 1.,,L'impact du Délirium sur la Volonté est affaibli si votre agent est bien reposé. Toutes les 10 endurances réduiront l’effet du délirium sur la volonté de 1.,,,,,,
TFTV_TIP_TACTICAL_4,Text,,"If a body part is disabled in battle, the operative's Stamina will drop to 0 after the mission.",,"Si une partie du corps est désactivée au combat, l'endurance de l'agent tombera à 0 après la mission.",,,,,,
TFTV_TIP_TACTICAL_5,Text,,"The bigger Pandorans will ignore smaller critters, drones and turrets, and walk over them, or squash them.",,"Les plus gros Pandoriens ignoreront les petites créatures, les drones et les tourelles, et marcheront dessus ou les écraseront.",,,,,,
TFTV_TIP_TACTICAL_6,Text,,Decoys and imaginary (or are they?) monsters don't stop bullets.,,Les leurres et les monstres imaginaires (ou le sont-ils ?) n'arrêtent pas les balles.,,,,,,
TFTV_TIP_TACTICAL_7,Text,,"If you are looking for a challenge, check the Make Pandorans Stronger option at the start of the game. If you are still finding everything too easy, try the ETERMES difficulty. Report if you survive, would you kindly. ",,"Si vous recherchez un défi, cochez l'option Rendre les Pandoriens plus forts au début du jeu. Si vous trouvez toujours tout trop facile, essayez la difficulté ETERMES. Signalez-le si vous survivez, pourriez-vous bien vouloir le faire.",,,,,,
TFTV_TIP_TACTICAL_8,Text,,"If you are finding the game too hard, try playing on Story Mode or Rookie. You can also choose a different difficulty setting for the Tactical portion of the game. You can do so either on starting a new game or in the mod config.",,"Si vous trouvez le jeu trop difficile, essayez de jouer en mode Histoire ou Rookie. Vous pouvez également choisir un niveau de difficulté différent pour la partie tactique du jeu. Vous pouvez le faire soit au démarrage d'un nouveau jeu, soit dans la configuration du mod.",,,,,,
TFTV_TIP_TACTICAL_9,Text,,"If you run into any Error Messages or other bugs, please report them in our #bug-reporting channel at the Phoenix Rising Discord server.",,"Si vous rencontrez des messages d'erreur ou d'autres bugs, veuillez les signaler sur notre canal #bug-reporting sur le serveur Discord 'Phoenix Rising'.",,,,,,
TFTV_TIP_TACTICAL_10,Text,,Smart adversaries will realize fast that they are attacking a decoy.,,Les adversaires intelligents se rendront vite compte qu’ils attaquent un leurre.,,,,,,
TFTV_TIP_GEOSCAPE_20,Text,,The volume of Pandorans that a craft is able to extract is equal to its carrying capacity when equipped with a passenger module.,,Le volume de Pandoriens qu'un engin est capable d'extraire après capture est égal à sa capacité d'emport lorsqu'il est équipé d'un module passagers.,,,,,,
TFTV_TIP_GEOSCAPE_21,Text,,Only one aircraft can be used for extracting paralyzed Pandorans for capture. The game will automatically pick the one with the largest capture capacity.,,Un seul avion peut être utilisé pour extraire les Pandoriens paralysés en vue de leur capture. Le jeu choisira automatiquement celui ayant la plus grande capacité de capture.,,,,,,
TFTV_TIP_GEOSCAPE_22,Text,,If you have built a Containment Facility the game will automatically try to extract the most valuable of the paralyzed Pandorans at the end of a successful mission.,,"Si vous avez construit une installation de confinement, le jeu tentera automatiquement d'extraire le plus précieux des Pandoriens paralysés à la fin d'une mission réussie.",,,,,,
TFTV_TIP_GEOSCAPE_23,Text,,"If you want to ensure that a lower value Pandoran gets captured, click on the fully paralyzed Pandoran and choose that option in the dropdown menu. Do the same to remove the mark.",,"Si vous voulez vous assurer qu'un Pandorien de valeur inférieure est capturé, cliquez sur le Pandorien complètement paralysé et choisissez cette option dans le menu déroulant. Faites de même pour supprimer la marque.",,,,,,
TFTV_TIP_GEOSCAPE_24,Text,,Scyllas are big! You will need a special module to capture them.,,Les Scyllas sont grandes ! Vous aurez besoin d'un module spécial pour les capturer.,,,,,,
TFTV_TIP_GEOSCAPE_25,Text,,"If you have a Mutation Lab, captured Pandorans will generate Mutagens every hour. Each Mutation Lab can generate up to 50 Mutagens per day.",,"Si vous disposez d'un laboratoire de mutation, les Pandoriens capturés généreront des mutagènes toutes les heures. Chaque laboratoire de mutation peut générer jusqu'à 50 mutagènes par jour.",,,,,,
TFTV_TIP_GEOSCAPE_26,Text,,"If you have a Food Production facility you can process captured Pandorans, turning them into food. Each of these facilities can process 50 units of Pandoran meat per day.",,"Si vous disposez d'une installation de production alimentaire, vous pouvez y transférer les Pandoriens capturés et les transformer en nourriture. Chacune de ces installations peut traiter 50 unités de viande Pandorienne par jour.",,,,,,
TFTV_TIP_GEOSCAPE_27,Text,,Do you recall the legend of Fort Bacon?,,Vous souvenez-vous de la légende de Fort Bacon ?,,,,,,
TFTV_TIP_GEOSCAPE_28,Text,,Containment facilities housing captured Pandoran life forms are perfectly secure. You have absolutely nothing to worry about.,,Les installations de confinement hébergeant les formes de vie Pandora capturées sont parfaitement sécurisées. Vous n'avez absolument rien à craindre.,,,,,,
TFTV_TIP_GEOSCAPE_29,Text,,Project Cornucopia is made of fishpeople! It’s made of fishpeople!,,Le projet Cornucopia est composé d'hommes-poissons ! C’est fait de poissons !,,,,,,
TFTV_TIP_GEOSCAPE_30,Text,,There are no known health risks associated with consuming nutrients derived from our autonomous Food Production facilities.,,Il n'y a aucun risque connu pour la santé associé à la consommation de nutriments dérivés de nos installations autonomes de production alimentaire.,,,,,,
TFTV_TIP_GEOSCAPE_31,Text,,"If your system, or you, are struggling with the Mist from the More Mist Void Omen, you can turn it off in the Mod settings.",,"Si votre système, ou vous-même, rencontrez des difficultés avec la brume du More Mist Void Omen, vous pouvez la désactiver dans les paramètres du Mod.",,,,,,
TFTV_TIP_GEOSCAPE_32,Text,,"If the Limited Deployment Void Omen is too much for you, you can turn it off on new game start or in Mod settings.",,"Si le Présage du Néant de déploiement limité est trop dur pour vous, vous pouvez le désactiver au démarrage d'un nouveau jeu ou dans les paramètres du Mod.",,,,,,
TFTV_TIP_GEOSCAPE_33,Text,,You don't need an aircraft at the Bazaar to buy things! We deliver!,,Vous n'avez pas besoin d'un avion au Bazar pour acheter des choses ! Nous livrons!,,,,,,
TFTV_TIP_GEOSCAPE_34,Text,,Mercenaries refuse to be augmentend or mutated.,,"Les mercenaires refusent d'être augmentés ou mutés.",,,,,,
KEY_TACTICAL_LOADING_TIP_4,Text,,The Berserker's Dash ability allows a soldier to move up to half its movement range for 1 Action Point.,,La capacité 'Dash' du Berserker permet à un soldat de se déplacer jusqu'à la moitié de sa portée de mouvement pour 1 point d'action.,,,,,,
KEY_DAMAGE_TYPE_ACID_DESC,Text,,"ACID damage sticks to individual body parts - each turn it applies damage to armor first (ignoring temporary armor granted by Electric Reinforcement and similar), then body. Electronic body parts are disabled if their HP are reduced by Acid. Acid Resistance reduces damage from Acid to body parts by 50%. Acid levels reduce by 10 each turn. ",,"Les dégâts d'ACIDE s'appliquent aux différentes parties du corps - à chaque tour, ils s'appliquent d'abord à l'armure (en ignorant l'armure temporaire accordée par le Renforcement électrique et autres), puis au corps. Les parties électroniques du corps sont désactivées si leurs HP sont réduits par l'acide. La résistance à l'acide réduit de 50 % les dégâts causés par l'acide aux parties du corps. Le niveau d'acide est réduit de 10 à chaque tour. ",,,,,,
KEY_ACID_RESISTANCE_DESCRIPTION,Text,,Reduces damage from Acid to body parts by 50%.,,"Réduit de 50 % les dégâts causés par l'acide aux parties du corps.",,,,,,
KEY_TACTICAL_LOADING_TIP_28,Text,,"Acid damage attached to body parts will damage armor first (ignoring temporary armor granted by Electric Reinforcement and similar), and then body parts. Electronic body parts are disabled if their HP are reduced by Acid. Acid Resistance reduces damage from Acid to body parts by 50%. Remaining acid levels decrease by 10 each turn.",,"Les dégâts d'acide infligés aux parties du corps endommagent d'abord l'armure (en ignorant l'armure temporaire accordée par le renforcement électrique et autres), puis les parties du corps. Les parties électroniques du corps sont désactivées si leurs HP sont réduits par l'acide. La résistance à l'acide réduit de 50 % les dégâts causés par l'acide aux parties du corps. Les niveaux d'acide restants diminuent de 10 à chaque tour.",,,,,,
KEY_TACTICAL_LOADING_TIP_26,Text,,"Poison will inflict damage and reduce WP at the start of the turn, and then the poison value will decrease, and inflict less damage on the next turn, until no poison is left. A poisoned character has a 50% penalty to aim.",,"Le poison inflige des dégâts et réduit la Volonté au début du tour, puis la valeur du poison diminue et inflige moins de dégâts au tour suivant, jusqu'à ce qu'il n'y ait plus de poison. Un personnage empoisonné a une pénalité de 50 % pour viser.",,,,,,
KEY_GEOSCAPE_LOADING_TIP_9,Text,,"Most of the interesting technology is possessed by the factions - to get access to it, you can 1) ally with them, 2) steal it from them, 3) reverse engineer their items to get access to the underlying technology, or 4) buy it in the Marketplace.",,"La plupart des technologies intéressantes sont détenues par les factions. Pour y accéder, vous pouvez 1) vous allier avec elles, 2) les voler, 3) faire de la rétro-ingénierie sur leurs objets pour accéder à la technologie sous-jacente, ou 4) les acheter sur le Marché.",,,,,,
KEY_TACTICAL_LOADING_TIP_1,Text,,"Mindfraggers can take control of your soldiers. A risky way to remove them is to aim at the victim’s head. Handguns work best. If you are playing with Stronger Pandorans option on, removing the Mindfragger by any means other than using the Technician Arms will cause it to explode, dealing a small amount of Acid damage.",,"Les Corrupteurs peuvent prendre le contrôle de vos soldats. Un moyen risqué de les éliminer est de viser la tête de la victime. Les armes de poing sont les plus efficaces. Si vous jouez avec l'option 'Pandoriens plus forts' activée, l'élimination du corrupteur autrement qu'à l'aide des Bras de Technicien la fera exploser, infligeant des dégâts d'acide aux alentours.",,,,,,
KEY_TACTICAL_LOADING_TIP_16,Text,,Mist spread during a mission will conceal Pandorans and restore their Will Points. If one of your soldiers is caught inside mist they will be revealed to the enemy and will lose Will Points. Any units (including vehicles) caught in the Mist can be targetted by the Umbra.,,"La brume répandue au cours d'une mission dissimule les pandores et leur redonne des points de volonté. Si l'un de vos soldats est pris dans la brume, il sera révélé à l'ennemi et perdra des points de volonté. Toutes les unités (y compris les véhicules) prises dans la brume peuvent être ciblées par l'Umbra.",,,,,,
TFTV_TIP_TACTICAL_11,Text,,"If you find the ambush missions too challenging, consider playing with the REVEAL EXIT IN AMBUSH EARLY option enabled. You can select this option either during New Game setup or in the Mod Configuration tab on the main title screen.",,"Si vous trouvez les missions d'embuscade trop difficiles, envisagez de jouer avec l'option 'RÉVÉLER LA SORTIE DES EMBUSCADES PLUS TOT' activée. Vous pouvez sélectionner cette option lors de la configuration d'une nouvelle partie ou dans l'onglet Configuration des mods de l'écran principal.",,,,,,
